Crude Oil and Lease Condensate Production by API Gravity
https://www.eia.gov/dnav/pet/pet_crd_api_adc_mbblpd_m.htm
16:42:14 GMT-0700 (Pacific Daylight Time)
Data source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC45B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC25B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC40B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC55B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC30B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC20B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC35B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC50B_FPF_R48_MBBLD&f=M,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=M_EPC55G_FPF_R48_MBBLD&f=M
Series Key,M_EPC45B_FPF_R48_MBBLD.M,M_EPC25B_FPF_R48_MBBLD.M,M_EPC40B_FPF_R48_MBBLD.M,M_EPC55B_FPF_R48_MBBLD.M,M_EPC30B_FPF_R48_MBBLD.M,M_EPC20B_FPF_R48_MBBLD.M,M_EPC35B_FPF_R48_MBBLD.M,M_EPC50B_FPF_R48_MBBLD.M,M_EPC55G_FPF_R48_MBBLD.M
Month,Lower 48 States Crude Oil and Lease Condensate Production for 40.1 to 45.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 20.1 to 25.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 35.1 to 40.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 50.1 to 55.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 25.1 to 30.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 20.0 or Lower Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 30.1 to 35.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 45.1 to 50.0 Degrees API Gravity Mbbl/d,Lower 48 States Crude Oil and Lease Condensate Production for 55.1 or Higher Degrees API Gravity Mbbl/d
Feb 2024,3800,312,2981,741,698,233,1195,2324,354
Jan 2024,3663,197,2694,673,728,236,1224,2330,351
Dec 2023,3880,140,3040,729,845,242,1270,2351,345
Nov 2023,3877,170,3060,582,822,240,1251,2486,361
Oct 2023,3704,199,3189,704,820,238,1328,2204,333
Sep 2023,3666,115,3347,509,922,240,1381,2231,344
Aug 2023,3721,114,3324,578,923,270,1308,2121,289
Jul 2023,3738,194,3149,586,803,269,1435,2053,306
Jun 2023,3674,186,3320,576,774,276,1298,2016,319
May 2023,3814,171,2923,725,714,269,1270,2076,331
Apr 2023,3766,158,2844,685,749,264,1281,2147,345
Mar 2023,3753,132,2854,666,726,263,1331,2280,368
Feb 2023,3724,112,2600,669,665,264,1450,2256,385
Jan 2023,3877,104,2390,716,681,252,1362,2357,408
Dec 2022,3568,119,2390,695,729,261,1308,2266,374
Nov 2022,3714,78,2547,748,772,253,1299,2221,363
Oct 2022,3732,109,2623,693,736,236,1343,2140,351
Sep 2022,3636,126,2724,551,775,270,1255,2267,371
Aug 2022,3566,104,2685,675,731,258,1208,2093,370
Jul 2022,3427,103,2738,548,701,276,1264,2120,367
Jun 2022,3464,96,2654,632,856,265,1123,2007,382
May 2022,3455,94,2490,583,640,263,1229,2153,356
Apr 2022,3334,85,2438,748,839,289,1162,2091,352
Mar 2022,3451,85,2318,712,811,293,1115,2219,383
Feb 2022,3344,79,2121,658,705,297,1156,2201,405
Jan 2022,3413,80,2028,686,834,278,1071,2172,393
Dec 2021,3438,81,2311,560,771,292,1143,2310,372
Nov 2021,3377,89,2494,553,768,298,1231,2212,374
Oct 2021,3270,85,2598,543,742,287,1146,2164,335
Sep 2021,3255,91,2407,542,573,297,867,2131,337
Aug 2021,3326,94,2448,524,783,295,1034,2056,329
Jul 2021,3322,96,2393,434,906,300,1190,2039,342
Jun 2021,3377,105,2306,467,880,296,1176,2009,322
May 2021,3318,90,2260,641,839,302,1199,1959,359
Apr 2021,3355,109,2045,525,873,293,1178,2134,383
Mar 2021,3328,95,2109,465,834,292,1261,2150,377
Feb 2021,2860,107,1632,442,757,301,1155,1863,358
Jan 2021,3321,116,1897,614,748,298,1267,2030,397
Dec 2020,3342,114,1920,557,736,323,1347,1966,407
Nov 2020,3396,105,2110,483,753,333,1161,2021,381
Oct 2020,3308,97,2208,617,531,321,747,1813,363
Sep 2020,3295,112,2182,566,847,325,984,1801,375
Aug 2020,3269,103,2246,515,665,313,852,1774,400
Jul 2020,3224,113,2325,538,836,332,1112,1695,385
Jun 2020,3225,99,2255,367,784,345,1039,1582,382
May 2020,2819,76,2074,420,846,323,931,1446,372
Apr 2020,3582,99,2393,537,810,338,1253,1953,473
Mar 2020,4042,124,2473,611,946,322,1201,2062,539
Feb 2020,3983,179,2478,603,819,354,1258,2120,549
Jan 2020,3967,146,2531,594,858,344,1277,2146,494
Dec 2019,3946,171,2548,594,809,346,1404,2199,469
Nov 2019,4075,137,2558,732,818,362,1374,1991,457
Oct 2019,4125,149,2521,538,736,354,1399,2019,463
Sep 2019,4019,149,2602,512,784,353,1381,1949,381
Aug 2019,3977,146,2550,505,819,341,1519,1874,365
Jul 2019,3845,140,2556,493,669,331,1259,1802,350
Jun 2019,3827,132,2600,459,903,337,1332,1765,394
May 2019,3913,125,2423,480,836,348,1391,1775,363
Apr 2019,3884,137,2331,502,737,354,1523,1717,459
Mar 2019,3738,118,2333,556,686,334,1513,1698,430
Feb 2019,3681,126,2262,585,644,354,1409,1680,420
Jan 2019,3790,114,2158,542,661,354,1535,1718,476
Dec 2018,3884,119,2149,541,698,322,1544,1715,489
Nov 2018,3893,120,2214,541,653,352,1582,1601,435
Oct 2018,3758,121,2189,533,685,332,1436,1500,448
Sep 2018,3662,121,2366,516,703,353,1395,1413,420
Aug 2018,3489,125,2390,477,744,361,1564,1356,435
Jul 2018,3385,115,2180,436,883,352,1399,1311,419
Jun 2018,3339,116,2212,442,679,367,1450,1140,421
May 2018,3364,110,2034,429,565,340,1404,1233,430
Apr 2018,3357,118,1860,458,648,358,1446,1280,444
Mar 2018,3271,120,1847,426,676,345,1457,1324,459
Feb 2018,3100,241,1650,412,735,374,1339,1366,525
Jan 2018,3026,119,1677,423,806,359,1220,1363,471
Dec 2017,3028,134,1666,456,787,368,1216,1323,463
Nov 2017,3073,153,1729,403,698,371,1395,1233,488
Oct 2017,3040,133,1715,377,673,368,1241,1128,460
Sep 2017,2821,153,1788,385,680,373,1385,1060,362
Aug 2017,2757,161,1682,327,641,371,1522,937,368
Jul 2017,2723,161,1778,356,766,369,1377,909,367
Jun 2017,2744,157,1832,319,768,369,1140,926,379
May 2017,2652,166,1763,379,778,369,1191,956,414
Apr 2017,2627,140,1631,403,777,374,1246,935,428
Mar 2017,2562,161,1692,405,705,369,1360,945,429
Feb 2017,2573,195,1659,400,685,382,1283,960,444
Jan 2017,2482,183,1499,414,727,376,1253,966,443
Dec 2016,2498,147,1449,402,693,384,1287,976,442
Nov 2016,2631,161,1499,388,682,393,1247,971,404
Oct 2016,2498,139,1557,387,665,409,1229,991,419
Sep 2016,2437,159,1537,413,779,397,1023,896,409
Aug 2016,2501,169,1584,369,697,393,1213,841,421
Jul 2016,2482,175,1631,357,761,400,1070,870,437
Jun 2016,2504,171,1583,369,668,391,1173,830,455
May 2016,2474,166,1562,415,690,404,1180,916,460
Apr 2016,2453,166,1621,436,706,401,1169,912,467
Mar 2016,2555,178,1545,465,725,408,1165,1002,499
Feb 2016,2503,200,1552,469,751,408,1065,1032,518
Jan 2016,2500,238,1539,471,641,411,1202,1081,549
Dec 2015,2495,251,1597,484,706,426,1111,1049,563
Nov 2015,2580,232,1643,470,691,438,1098,1046,525
Oct 2015,2569,251,1745,489,651,435,1157,975,518
Sep 2015,2555,248,1828,474,632,435,1270,939,506
Aug 2015,2554,234,1851,458,694,438,1205,950,508
Jul 2015,2548,220,1867,435,670,440,1188,990,534
Jun 2015,2537,190,1892,412,549,441,1220,990,581
May 2015,2546,254,1839,447,569,464,1144,1021,602
Apr 2015,2556,295,1789,442,594,479,1224,1058,601
Mar 2015,2590,259,1736,453,584,460,1189,1096,599
Feb 2015,2400,308,1778,476,569,481,1151,1138,594
Jan 2015,2404,283,1712,524,599,489,1092,1097,569
