Description,Vessel Class,Lower Stowage Factor (m^3/tonne),Lower Stowage Factor Source,Upper Stowage Factor (m^3/tonne),Upper Stowage Factor Source
Live animals/fish,container,n/a,n/a,n/a,n/a
Cereal grains,bulk_carrier,1.3,https://www.cargohandbook.com/Cereals,1.8,https://www.cargohandbook.com/Cereals
Other ag prods.,bulk_carrier,1.17,https://cargohandbook.com/Sugar_(raw_and_refined),3.55,https://www.cargohandbook.com/Peanuts
Animal feed,bulk_carrier,1.23,https://www.cargohandbook.com/Soybeans,2.07,https://www.cargohandbook.com/Fishmeal
Meat/seafood,container,2.26,"https://cargohandbook.com/Meat,_frozen",3.96,"https://cargohandbook.com/Meat,_frozen"
Milled grain prods.,container,1.34,https://www.cargohandbook.com/Rice_(incl._transport_guidelines),1.67,https://www.handybulk.com/wheat-stowage-factor/ (wheat flour bulk)
Other foodstuffs,container,1.17,https://cargohandbook.com/Sugar_(raw_and_refined),3.96,"https://cargohandbook.com/Meat,_frozen"
Alcoholic beverages,container,1.7,https://freight-charter.blogspot.com/2015/02/stowage-factor-of-general-cargoes.html (beer cartons),1.87,https://freight-charter.blogspot.com/2015/02/stowage-factor-of-general-cargoes.html (beer cases)
Tobacco prods.,container,3.12,https://freight-charter.blogspot.com/2015/02/stowage-factor-of-general-cargoes.html (tobacco cases),3.96,https://freight-charter.blogspot.com/2015/02/stowage-factor-of-general-cargoes.html (tobacco cases)
Building stone,bulk_carrier,0.67,https://www.cargohandbook.com/Limestone,0.84,https://www.cargohandbook.com/Limestone
Natural sands,bulk_carrier,1.3,https://www.handybulk.com/bulk-aggregates-shipping/ (sand),1.5,https://www.handybulk.com/bulk-aggregates-shipping/ (sand)
Gravel,bulk_carrier,1.4,https://www.handybulk.com/bulk-aggregates-shipping/,1.7,https://www.handybulk.com/bulk-aggregates-shipping/
Nonmetallic minerals,bulk_carrier,0.67,https://www.cargohandbook.com/Limestone,1.15,https://www.cargohandbook.com/Clays
Metallic ores,bulk_carrier,0.29,https://www.cargohandbook.com/Ores,0.8,https://www.cargohandbook.com/Ores
Coal,bulk_carrier,1.1,https://cargohandbook.com/Coal_and_Coke,1.3,https://cargohandbook.com/Coal_and_Coke
Crude petroleum,tanker,n/a,n/a,n/a,n/a
Gasoline,tanker,n/a,n/a,n/a,n/a
Fuel oils,tanker,n/a,n/a,n/a,n/a
Natural gas and other fossil products,gas_carrier,n/a,n/a,n/a,n/a
Basic chemicals,chemical_tanker,n/a,n/a,n/a,n/a
