Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,United States,2024,444.4539538804724,1250.4570837327717,1694.9110376132442,4.227008084371521,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Brazil,2024,453.34303295808184,2745.967025734422,3199.310058692504,4.160341973216548,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Canada,2024,395.56401895362035,817.4463783099164,1213.0103972635368,4.178054002748496,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Mexico,2024,360.0077026431826,757.0095996720871,1117.0173023152697,4.260956140974423,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Australia,2024,435.12042084898246,1157.3758354755125,1592.4962563244949,4.2712881582013935,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,India,2024,281.7838067602195,1898.31793811842,2180.1017448786397,4.31163222546861,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Indonesia,2024,283.11716862186086,1885.1123337958845,2168.2295024177456,4.31163222546861,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Philippines,2024,308.8954979469283,3859.710114912114,4168.605612859043,4.286540183631683,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Singapore,2024,367.5634198591506,4724.127595349849,5091.6910152089995,4.252100126208449,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Thailand,2024,289.783977930068,717.5994663268052,1007.3834442568732,4.2715341586115585,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,China,2024,350.2297156578122,1539.8381186317108,1890.067834289523,4.27940617173687,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Japan,2024,477.78800042150783,2243.9044606977122,2721.69246111922,4.2555441319507725,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Russia,2024,316.4512151628963,301.212545054903,617.6637602177993,4.244720113903469,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,South Korea,2024,511.12204696254315,1812.4536835320123,2323.5757304945555,4.24226010980181,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Taipei,2024,376.0080449828796,4878.258142718548,5254.266187701427,4.144843947376092,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,South Arabia,2024,472.01009902106165,4934.403993962574,5406.414092983635,4.31040222341778,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,South Africa,2024,541.3449158264153,4938.564082970894,5479.908998797309,4.31040222341778,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Turkey,2024,323.56247842498385,1093.0671679830648,1416.6296464080488,4.250624123747453,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Belgium,2024,509.34423114702133,2304.3812070588024,2813.7254382058236,4.170181989623186,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,France,2024,456.8986645891256,3010.050372054497,3466.9490366436225,4.150009955989578,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Germany,2024,463.1210199434522,3081.5105872425756,3544.631607186028,4.229960089293513,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Italy,2024,413.3421771088393,3889.231598439372,4302.573775548211,4.217660068785216,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Netherlands,2024,501.3440599771728,3989.201527287829,4490.545587265002,4.20216204294476,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Spain,2024,388.8972096454133,2396.4028938446395,2785.3001034900526,4.1790380043891595,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,United Kingdom,2024,451.5652171425599,2531.539167846681,2983.1043849892408,4.1947820306397805,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Czech Republic,2024,398.2307426769032,2352.381400857362,2750.6121435342657,4.267598152048905,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Finland,2024,512.0109548703041,3464.0614508068884,3976.0724056771924,4.155667965423394,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Hungary,2024,410.67545338555647,3968.410692514274,4379.086145899831,4.186418016694139,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Norway,2024,588.9014888916258,4003.194677581362,4592.0961664729875,4.143613945325262,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Poland,2024,415.56444687824165,2216.4947510197444,2632.059197897986,4.299086204550145,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Sweden,2024,538.6781921031325,2440.789841742067,2979.4680338451994,4.146319949837087,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Oman,2024,424.4535259558511,3931.5608319374423,4356.014357893293,4.275224164764049,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,United Arab Emirates,2024,424.4535259558511,1443.4080450312458,1867.861570987097,4.250624123747453,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Malaysia,2024,388.8972096454133,884.7684906520459,1273.6657002974591,4.162063976087708,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Saudi Arabia,2024,424.4535259558511,348.4609803901558,772.9145063460069,4.244720113903469,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Greece,2024,408.89763757003453,2981.728376491211,3390.6260140612453,4.219136071246211,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Austria,2024,462.2321120356913,3715.402603966861,4177.6347160025525,4.163539978548705,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Switzerland,2024,491.12161903792196,4947.157060523671,5438.278679561593,4.144843947376092,Liquid methanol at STP
FTdiesel,SMR,SMR,grid,SMR_H_C_grid_E,Portugal,2024,404.45309803122984,3307.282941531443,3711.736039562673,4.1770700011078326,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,United States,2024,678.10165,4656.460296448243,5334.561946448242,9.206542201337284,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Brazil,2024,691.663683,3893.707129645047,4585.370812645047,0.3583716268275845,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Canada,2024,603.5104685,3872.9023573718405,4476.41282587184,2.7091770931179844,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Mexico,2024,549.2623365,6449.489644789359,6998.751981289359,13.712252678393885,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Australia,2024,663.86151535,6095.012690335185,6758.874205685184,15.083555867063286,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,India,2024,429.91644610000003,4232.4946043387135,4662.411050438714,20.438168318058082,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Indonesia,2024,431.95075105,2307.336795924413,2739.287546974413,20.438168318058082,Liquid methanol at STP
FTdiesel,LTE,SMR,grid,LTE_H_SMR_C_grid_E,Philippines,2024,471.28064674999996,5002.655622546837,5473.936269296837,17.107860574146684,Liquid methanol at STP
