Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
ammonia,SMR,n/a,grid,SMR_H_grid_E,United States,2024,128.06985759276867,453.5437317444912,581.6135893372599,2.317390299764994,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Brazil,2024,130.63125474462407,871.3454609871853,1001.9767157318095,2.048194009644815,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Canada,2024,113.98217325756413,316.2896133081056,430.2717865656697,2.1197147952117996,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Mexico,2024,103.73658465014266,390.6489800608513,494.38556471099395,2.454471805435049,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Australia,2024,125.38039058332053,468.4786475554508,593.8590381387713,2.496192263682457,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,India,2024,81.19628971381535,644.3187533716791,725.5150430854944,2.659100719696145,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Indonesia,2024,81.58049928659365,586.0393593974444,667.619858684038,2.659100719696145,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Philippines,2024,89.00855102697423,1218.4652331325624,1307.4737841595365,2.557779606809583,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Singapore,2024,105.91377222921969,1603.0240224290908,1708.9377946583104,2.4187114126515565,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Thailand,2024,83.5015471504852,301.4043244964428,384.905871646928,2.497185607926443,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,China,2024,100.91904778310172,495.81511822982895,596.7341660129307,2.5289726237339916,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Japan,2024,137.67509691222634,786.0741904552989,923.7492873675252,2.432618232067359,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Russia,2024,91.1857386060513,169.17133792264676,260.35707652869803,2.3889110853319795,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,South Korea,2024,147.28033623168398,600.0734687356608,747.3538049673448,2.3789776428921203,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Taipei,2024,108.34709952348231,1343.5492199053485,1451.8963194288308,1.985613322273703,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,South Arabia,2024,136.01018876352035,1451.3403252153294,1587.3505139788497,2.6541339984762153,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,South Africa,2024,155.98908654799226,1452.5390590823977,1608.5281456303899,2.6541339984762153,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Turkey,2024,93.23485632753558,423.2669902330794,516.501846560615,2.4127513471876414,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,Belgium,2024,146.7680568013129,759.131858927647,905.89991572896,2.087927779404251,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR,n/a,grid,SMR_H_grid_E,France,2024,131.6558136053662,997.1169762196653,1128.7727898250314,2.006473551397407,Liquid cryogenic ammonia at atmospheric pressure
