Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
lng,,,,fossil,South Africa,1,2024,78.20798562778377,240.8255164709382,319.03350209872195,0.7910301332826266,36.05304361240747,0.0488776508666503,12.135525238045703,0.05672,47.91999291028547,0.1648604807123136,415.1420638594606,1.0614882648615904
lng,,,,fossil,Taiwan,1,2024,76.95331206156263,698.8862834708979,775.8395955324605,0.7880364937215154,8.910824241692303,0.0120805378015195,18.45634568877224,0.05088,68.52112477860437,0.2357351260693634,871.7278902415295,1.0867321575923983
lng,,,,fossil,Switzerland,1,2024,92.4276193782899,3056.56944818408,3148.99706756237,0.76347224581596,40.538576790060155,0.0549587553349742,28.47289346314492,0.00296,0.0,0.0,3218.008537815575,0.8213910011509341
lng,,,,fossil,Singapore,1,2024,77.37153658363636,3326.3255191088556,3403.697055692492,0.7824182934492933,0.5503414925855502,0.0007461061989998,27.9227388718634,0.03992,57.04210191937806,0.1962435253459939,3489.212237976319,1.019327924994287
lng,,,,fossil,Hungary,1,2024,75.2804139732678,1184.9583359061846,1260.2387498794524,0.7694595249381821,76.80742832481737,0.1041289802321632,20.75077295640763,0.01464,0.0,0.0,1357.7969511606775,0.8882285051703454
lng,,,,fossil,Philippines,1,2024,74.8621894511941,676.0710826478022,750.9332720989963,0.7870932922159599,14.30847482008127,0.0193982134825784,16.72437977331648,0.04904,65.90453867693275,0.2267332123304705,847.8706653693268,1.0822647180290088
lng,,,,fossil,Netherlands,1,2024,85.73602702511054,2077.355297984755,2163.0913250098656,0.77233013821596,6.791636792605323,0.0092075236568326,24.05060253368647,0.02024,0.0,0.0,2193.9335643361574,0.8017776618727926
lng,,,,fossil,Norway,1,2024,94.93696651073216,1501.6342942370595,1596.571260747792,0.7632261932492933,31.586172849052392,0.0428218473127285,15.911252561691846,0.00248,4.00931300443226,0.0137933507309631,1648.0779991629684,0.822321391292985
lng,,,,fossil,Oman,1,2024,79.88088371607861,93.90822529023664,173.78910900631524,0.7843046964604043,26.719103995420006,0.0362234892176598,21.12109797041032,0.0436,40.64882895144683,0.1398452936726074,262.2781399235924,1.0039734793506716
lng,,,,fossil,Italy,1,2024,80.29910823815231,2338.923298089766,2419.222406327918,0.7737654448548488,18.21993296312582,0.0247010358337391,41.78749115350147,0.0230399999999999,15.307500202047128,0.0526628175120549,2494.5373306465926,0.8741692982006427
lng,,,,fossil,Austria,1,2024,86.99070059133169,1953.191024668595,2040.181725259927,0.7661788240492933,54.43905545807985,0.0738038423273236,28.929782082959928,0.0082399999999999,0.0,0.0,2123.5505628009664,0.8482226663766168
lng,,,,fossil,Finland,1,2024,90.33649676792136,2073.5639423336406,2163.900439101562,0.7649075524548489,27.22434438169863,0.0369084511717668,15.940927547689158,0.0057599999999999,7.807709183324688,0.0268610784570582,2214.8734202142746,0.8344370820836737
lng,,,,fossil,Portugal,1,2024,76.11686301741521,1801.7750556964509,1877.891918713866,0.7665479028992932,12.817872374283043,0.0173773814354991,16.803559322589937,0.00896,7.71666717802024,0.0265478641210794,1915.2300175887594,0.8194331484558717
lng,,,,fossil,Germany,1,2024,86.15425154718426,1808.7390091856944,1894.8932607328784,0.776061935477071,27.861242502357104,0.0377719034870231,28.316995716777623,0.02752,0.0,0.0,1951.0714989520131,0.8413538389640941
lng,,,,fossil,Greece,1,2024,76.95331206156264,971.9771687285678,1048.9304807901303,0.7750777252104044,11.184540606351485,0.0151630491100337,24.136345688772245,0.0256,19.28989298501403,0.0663635538584547,1103.541260070268,0.8822043281788928
