Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],Fuel Production LCOF [$/tonne],Fuel Production Emissions [kg CO2e / kg fuel],Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel],Final LCOF [$/tonne],Final Emissions [kg CO2e / kg fuel]
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,South Africa,1,2024,927.6919847731492,1687.9121216831074,2615.604106456257,8.981339828918278,438.1704908749996,0.4433861978391045,259.92307237858716,0.140382,202.8414917358742,0.6978412100057176,3516.539161445718,10.262949236763102
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Taiwan,1,2024,912.8092256591414,3819.66983202288,4732.479057682021,8.186954735750577,108.29765925058994,0.1099631873647823,271.8790658698398,0.125928,69.39296304730028,0.2387345354463574,5182.048745849752,8.661580458561716
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Switzerland,1,2024,1096.3632547319037,11626.029046852344,12722.392301584248,1.6686441767443652,207.83667510659143,0.2105734684932008,342.15581281105756,0.007326,267.9516660024915,0.921841548422986,13540.336455504388,2.808385193660552
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Singapore,1,2024,917.7701453638108,12402.739209631442,13320.509354995253,6.69612243761393,8.03949538583879,0.0086260185661268,296.5377347060888,0.098802,0.0,0.0,13625.086585087181,6.803550456180057
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Hungary,1,2024,892.9655468404644,5494.154133838932,6387.119680679396,3.2574143630797687,329.62936309882156,0.3336769216759281,272.6403905248432,0.036234,260.9155686694031,0.8976350676156276,7250.305002972464,4.524960352371324
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Philippines,1,2024,888.0046271357951,3537.2546941390933,4425.259321274889,7.936669021464862,173.897979404711,0.1762695155523986,261.44572168859406,0.121374,53.57518265866389,0.1843161868553106,4914.1782050268575,8.41862872387257
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Netherlands,1,2024,1016.9885394571952,8350.425276675212,9367.413816132408,4.019153493514551,82.54212485506892,0.0839304650813442,311.54111143107144,0.050094,344.8307856143194,1.18633091593341,10106.327838032868,5.339508874529305
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Norway,1,2024,1126.128772959919,5590.034879949509,6716.163652909428,1.6033522512785268,383.8823986934868,0.3885138428199527,318.4418258285524,0.006138,365.9352364688872,1.2589371435588457,7784.423113900354,3.2569412376573252
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Oman,1,2024,947.5356635918262,2477.701250109975,3425.236913701801,7.19669386618536,324.730500960653,0.328725336684938,287.07974772358364,0.10791,133.08464145596236,0.4578547832202749,4170.1318038419995,8.091183986090574
liquid_hydrogen,ATRCCS,,grid,ATRCCS_H_grid_E,Italy,1,2024,952.4965832964954,11503.73194770598,12456.228531002476,4.400023058731943,204.80191904673052,0.2075060515842323,339.4584165598328,0.057024,262.85493517664605,0.9043071240005276,13263.343801785688,5.568860234316703
