Region,Installation Cost Factor (relative to USA),Water price [2024$/m^3],NG price [2024$/GJ],Electricity price [2024$/kWh],Electricity Emissions [kgCO2e/kWh],Labor Price [2024$/hr]
United States,1,2.17,11.11111111,0.137,0.369,50.809254
Brazil,1.02,0.72,27.5,0.117,0.098,10.388364
Canada,0.89,2.1,6.944444444,0.114,0.17,39.158144
Mexico,0.81,0.48,6.944444444,0.196,0.507,5.090038
Australia,0.979,2.67,10,0.181,0.549,49.715742
India,0.634,0.11,18.88888889,0.128,0.713,11.19548
Indonesia,0.637,0.21,18.88888889,0.069,0.713,11.19548
Philippines,0.695,0.49,39.16666667,0.152,0.611,2.681708
Singapore,0.827,1.35,46.94444444,0.322,0.471,34.82315
Thailand,0.652,0.35,6.666666667,0.115,0.55,12.783676
China,0.788,0.31,14.72222222,0.089,0.582,39.158144
Japan,1.075,0.93,21.66666667,0.188,0.485,34.445628
Russia,0.712,0.44,2.5,0.095,0.441,6.592114
South Korea,1.15,0.59,17.5,0.115,0.431,29.915364
Taipei,0.846,2.91,48.33333333,0.016,0.035,78.576648
South Arabia,1.062,1.38,50,0.085,0.708,15.061826
South Africa,1.218,1.38,50,0.085,0.708,15.061826
Turkey,0.728,0.45,10.55555556,0.131,0.465,7.927962
Belgium,1.146,2.59,21.66666667,0.154,0.138,61.523068
France,1.028,2.14,29.16666667,0.192,0.056,49.103896
Germany,1.042,3.14,29.44444444,0.272,0.381,56.211724
Italy,0.93,1.34,37.77777778,0.474,0.331,42.295482
Netherlands,1.128,2.34,39.16666667,0.243,0.268,45.04228
Spain,0.875,2.03,23.33333333,0.146,0.174,30.514192
United Kingdom,1.016,1.33,24.72222222,0.123,0.238,36.984138
Czech Republic,0.896,2.71,23.05555556,0.156,0.534,13.942278
Finland,1.152,2.68,33.88888889,0.129,0.079,50.405696
Hungary,0.924,0.92,40,0.16,0.204,11.19548
Norway,1.325,2.88,39.16666667,0.124,0.03,63.293516
Poland,0.935,1.51,20.83333333,0.554,0.662,11.104354
Sweden,1.212,2.89,23.33333333,0.081,0.041,54.259024
Oman,0.955,1.71,39.16666667,0.223,0.565,21.56353591
United Arab Emirates,0.955,1.33,13.61111111,0.11,0.465,32.77657459
Malaysia,0.875,0.16,8.333333333,0.131,0.105,11.742236
Saudi Arabia,0.955,1.54,2.5,0.068,0.441,26.30751381
Greece,0.92,1.03,29.44444444,0.235,0.337,20.43826
Austria,1.04,2.11,36.11111111,0.309,0.111,51.473172
Switzerland,1.105,2.91,48.33333333,0.268,0.035,78.576648
Portugal,0.91,1.59,33.05555556,0.153,0.166,14.267728
