Region,2024 [kgCO2e/kWh],2025 [kgCO2e/kWh],2026 [kgCO2e/kWh],2027 [kgCO2e/kWh],2028 [kgCO2e/kWh],2029 [kgCO2e/kWh],2030 [kgCO2e/kWh],2031 [kgCO2e/kWh],2032 [kgCO2e/kWh],2033 [kgCO2e/kWh],2034 [kgCO2e/kWh],2035 [kgCO2e/kWh],2036 [kgCO2e/kWh],2037 [kgCO2e/kWh],2038 [kgCO2e/kWh],2039 [kgCO2e/kWh],2040 [kgCO2e/kWh],2041 [kgCO2e/kWh],2042 [kgCO2e/kWh],2043 [kgCO2e/kWh],2044 [kgCO2e/kWh],2045 [kgCO2e/kWh],2046 [kgCO2e/kWh],2047 [kgCO2e/kWh],2048 [kgCO2e/kWh],2049 [kgCO2e/kWh],2050 [kgCO2e/kWh],Source
South Africa,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Taiwan,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Switzerland,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Singapore,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Hungary,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Philippines,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Netherlands,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Norway,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Oman,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Italy,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Austria,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Finland,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Portugal,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Germany,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Greece,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
France,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Brazil,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
United Kingdom,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Spain,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Sweden,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Czech Republic,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Japan,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Belgium,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Poland,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
India,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
Indonesia,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,https://app.electricitymaps.com/zone/ZA/all/yearly
South Korea,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
China,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
United Arab Emirates,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,https://app.electricitymaps.com/zone/ZA/all/yearly
United States,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table
