Region,2024 [2024$/kWh],2025 [2024$/kWh],2026 [2024$/kWh],2027 [2024$/kWh],2028 [2024$/kWh],2029 [2024$/kWh],2030 [2024$/kWh],2031 [2024$/kWh],2032 [2024$/kWh],2033 [2024$/kWh],2034 [2024$/kWh],2035 [2024$/kWh],2036 [2024$/kWh],2037 [2024$/kWh],2038 [2024$/kWh],2039 [2024$/kWh],2040 [2024$/kWh],2041 [2024$/kWh],2042 [2024$/kWh],2043 [2024$/kWh],2044 [2024$/kWh],2045 [2024$/kWh],2046 [2024$/kWh],2047 [2024$/kWh],2048 [2024$/kWh],2049 [2024$/kWh],2050 [2024$/kWh],Source
South Africa,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,https://www.globalpetrolprices.com/electricity_prices/
Taiwan,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.170,https://www.globalpetrolprices.com/electricity_prices/
Switzerland,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,https://www.globalpetrolprices.com/electricity_prices/
Singapore,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,https://www.globalpetrolprices.com/electricity_prices/
Hungary,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,https://www.globalpetrolprices.com/electricity_prices/
Philippines,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,https://www.globalpetrolprices.com/electricity_prices/
Netherlands,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,https://www.globalpetrolprices.com/electricity_prices/
Norway,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,https://www.globalpetrolprices.com/electricity_prices/
Oman,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,https://www.globalpetrolprices.com/electricity_prices/
Italy,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,https://www.globalpetrolprices.com/electricity_prices/
Austria,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,https://www.globalpetrolprices.com/electricity_prices/
Finland,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,https://www.globalpetrolprices.com/electricity_prices/
Portugal,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,https://www.globalpetrolprices.com/electricity_prices/
Germany,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,https://www.globalpetrolprices.com/electricity_prices/
Greece,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,https://www.globalpetrolprices.com/electricity_prices/
France,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,https://www.globalpetrolprices.com/electricity_prices/
Brazil,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,https://www.globalpetrolprices.com/electricity_prices/
United Kingdom,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,https://www.globalpetrolprices.com/electricity_prices/
Spain,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,https://www.globalpetrolprices.com/electricity_prices/
Sweden,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,0.07145375,https://www.gov.uk/government/statistical-data-sets/international-industrial-energy-prices
Czech Republic,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,https://www.globalpetrolprices.com/electricity_prices/
Japan,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,https://www.globalpetrolprices.com/electricity_prices/
Belgium,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,https://www.globalpetrolprices.com/electricity_prices/
Poland,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,https://www.globalpetrolprices.com/electricity_prices/
India,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,https://www.globalpetrolprices.com/electricity_prices/
