Fuel,Pathway Name,Pathway Description,Region,Year,Cost [$/tonne],Emissions [kg CO2e / kg fuel],Details,Model(s) or Publication(s),Results Produced by,Comment
hydrogen,blue_ATR_CCS_OC_USA,Auto-thermal reforming coupled with CCS with oxygen combustion,USA,2024,3720,5.71,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,"H2A, https://doi.org/10.1016/j.ijhydene.2023.09.230",Christopher Douglas,Results for liquid hydrogen
hydrogen,blue_ATR_CCS_R_OC_USA,Auto-thermal reforming coupled with CCS with oxygen combustion and fuel recycling,USA,2024,3560,5.82,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,"H2A, https://doi.org/10.1016/j.ijhydene.2023.09.230",Christopher Douglas,Results for liquid hydrogen
hydrogen,blue_ATR_CCS_R_USA,Auto-thermal reforming coupled with CCS with air combustion and fuel recycling,USA,2024,3500,6.11,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,"H2A, https://doi.org/10.1016/j.ijhydene.2023.09.230",Christopher Douglas,Results for liquid hydrogen
hydrogen,blue_SMR_CCS_USA,Steam methane reforming coupled with CCS,USA,2024,3740,6.05,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,"H2A, https://doi.org/10.1016/j.ijhydene.2023.09.230",Christopher Douglas,Results for liquid hydrogen
hydrogen,grey_SMR_USA,Steam methane reforming,USA,2024,3100,12.36,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,"H2A, https://doi.org/10.1016/j.ijhydene.2023.09.230",Christopher Douglas,Results for liquid hydrogen
hydrogen,electro_LTE_grid_USA,Low-temperature electrolysis using grid power,USA,2024,9960,20.91,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen
hydrogen,electro_LTE_wind_USA,Low-temperature electrolysis using wind power,USA,2024,3670,0.74,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen
hydrogen,electro_LTE_grid_Singapore,Low-temperature electrolysis using grid power,Singapore,2024,20290,26.69,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen. Possibly low-quality data
hydrogen,electro_LTE_wind_Singapore,Low-temperature electrolysis using wind power,Singapore,2024,3570,0.74,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen. Possibly low-quality data
hydrogen,electro_LTE_grid_Australia,Low-temperature electrolysis using grid power,Australia,2024,13840,31.11,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen
hydrogen,electro_LTE_wind_Australia,Low-temperature electrolysis using wind power,Australia,2024,3700,0.74,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen
hydrogen,electro_LTE_grid_China,Low-temperature electrolysis using grid power,China,2024,6270,32.98,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen. Possibly low-quality data
hydrogen,electro_LTE_wing_China,Low-temperature electrolysis using wind power,China,2024,3490,0.74,https://docs.google.com/spreadsheets/d/1hqRnYZsZ3jKKIxY7Kz62GPXKB44U1OTXAcX2AGCPxR8/edit?usp=sharing,H2A,Christopher Douglas,Results for liquid hydrogen. Possibly low-quality data
