Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
sng,n/a,n/a,grid,grid,South Africa,1,2024,767.8575300000001,68.58912189236355,836.4466518923637,0.36910521057795975,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Taiwan,1,2024,755.53896,108.8885496286407,864.4275096286407,0.36702511248351755,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Switzerland,1,2024,907.46799,322.27319162666566,1229.7411816266656,0.34995691031129406,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Singapore,1,2024,759.6451500000002,336.5286831520624,1096.1738331520626,0.3631213667446289,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Hungary,1,2024,739.1142,150.2148449405638,889.3290449405638,0.3541171065001829,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Philippines,1,2024,735.0080099999999,105.2337225741793,840.2417325741792,0.36636973911129544,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Netherlands,1,2024,841.7689499999999,233.4560822272076,1075.2250322272075,0.35611172111129363,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Norway,1,2024,932.10513,187.00077317773057,1119.1059031777306,0.3497859433446273,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Oman,1,2024,784.2822900000001,59.81973065573598,844.102020655736,0.3644321134890731,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Italy,1,2024,788.3884799999998,258.1893929762824,1046.5778729762824,0.35710902841684966,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Austria,1,2024,854.0875200000002,225.06832157435852,1079.1558415743586,0.35183754694462754,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Finland,1,2024,886.9370399999999,233.22870966625285,1120.1657496662529,0.3509542176168497,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Portugal,1,2024,747.32658,202.1806805477322,949.5072605477322,0.3520939973946275,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Germany,1,2024,845.87514,212.1479712909533,1058.0231112909532,0.35870472010573806,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Greece,1,2024,755.5389600000002,134.03799876805778,889.5769587680579,0.358020852239072,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,France,1,2024,829.45038,226.8351957155188,1056.285575715519,0.3501563717724052,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Brazil,1,2024,755.53896,217.40712128761606,972.946081287616,0.35183754694462754,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,United Kingdom,1,2024,874.6184700000001,190.43191045464704,1065.0503804546472,0.35491495234462755,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Spain,1,2024,763.75134,175.0751954890939,938.8265354890939,0.3530628102057385,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Sweden,1,2024,903.3618000000001,319.07743656955876,1222.439236569559,0.34992841581684964,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Czech Republic,1,2024,747.32658,178.36610009569574,925.6926800956958,0.3606993347168501,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Japan,1,2024,886.9370399999999,192.01982860912102,1078.9568686091209,0.36263696033907244,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Belgium,1,2024,841.7689499999999,155.5635285673107,997.3324785673105,0.3528348542501829,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Poland,1,2024,759.6451500000002,199.58698530399488,959.232135303995,0.3664267281001834,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,India,1,2024,726.7956300000001,139.8859128577996,866.6815428577997,0.3690767160835122,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,Indonesia,1,2024,661.0965900000001,190.00107889262853,851.0976688926287,0.36731005742796086,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,South Korea,1,2024,771.9637200000001,154.6934616703619,926.657181670362,0.3606993347168501,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
sng,n/a,n/a,grid,grid,China,1,2024,751.4327700000001,139.8613828112425,891.2941528112426,0.36485953090573986,conversion of SNG at STP to liquid synthetic natural gas at atmospheric pressure
