Fuel,Hydrogen Source,Carbon Source,Fuel Pathway,Electricity Demand [kWh / kg fuel],Lignocellulosic Biomass Demand [kg / kg fuel],NG Demand [GJ / kg fuel],Water Demand [m^3 / kg fuel],CO2 Demand [kg CO2 / kg fuel]
FTdiesel,ATRCCS,BEC,ATRCCS_H_BEC_C_grid_E,2.0760621118012423,3.9069972135519437,0.11560043783897725,0.015921350884161637,6.8
FTdiesel,BG,BEC,BG_H_BEC_C_grid_E,0.8683,12.473147213551943,0.004989091378427638,0.016041062188509463,6.8
FTdiesel,LTE,BEC,LTE_H_BEC_C_grid_E,32.650075920700004,3.9069972135519437,0.0007266454653126376,0.021952188288509464,6.8
FTdiesel,SMR,BEC,SMR_H_BEC_C_grid_E,0.6561659544867335,3.9069972135519437,0.10516609623869037,0.023490243844079373,6.8
FTdiesel,SMRCCS,BEC,SMRCCS_H_BEC_C_grid_E,1.5396645962732918,3.9069972135519437,0.13502962487848036,0.028182798586024994,6.8
FTdiesel,BG,BG,BG_H_C_grid_E,0.8683,8.56615,0.004262445913115,0.004835000000000001,6.8
FTdiesel,ATRCCS,DAC,ATRCCS_H_DAC_C_grid_E,5.66683988957902,0.0,0.1608771175905431,0.004945537666128533,6.8
FTdiesel,BG,DAC,BG_H_DAC_C_grid_E,4.459077777777777,8.56615,0.05026577112999349,0.0050652489704763595,6.8
FTdiesel,LTE,DAC,LTE_H_DAC_C_grid_E,36.24085369847778,0.0,0.046003325216878485,0.01097637507047636,6.8
FTdiesel,SMR,DAC,SMR_H_DAC_C_grid_E,4.246943732264511,0.0,0.15044277599025624,0.012514430626046269,6.8
FTdiesel,SMRCCS,DAC,SMRCCS_H_DAC_C_grid_E,5.13044237405107,0.0,0.1803063046300462,0.017206985367991888,6.8
FTdiesel,SMR,SMR,SMR_H_C_grid_E,0.6561659544867335,0.0,0.10443945077337774,0.012284181655569909,6.8
FTdiesel,ATRCCS,BEC,ATRCCS_H_BEC_C_solar_E,2.0760621118012423,3.9069972135519437,0.11560043783897725,0.015921350884161637,6.8
FTdiesel,BG,BEC,BG_H_BEC_C_solar_E,0.8683,12.473147213551943,0.004989091378427638,0.016041062188509463,6.8
FTdiesel,LTE,BEC,LTE_H_BEC_C_solar_E,32.650075920700004,3.9069972135519437,0.0007266454653126376,0.021952188288509464,6.8
FTdiesel,SMR,BEC,SMR_H_BEC_C_solar_E,0.6561659544867335,3.9069972135519437,0.10516609623869037,0.023490243844079373,6.8
FTdiesel,SMRCCS,BEC,SMRCCS_H_BEC_C_solar_E,1.5396645962732918,3.9069972135519437,0.13502962487848036,0.028182798586024994,6.8
FTdiesel,BG,BG,BG_H_C_solar_E,0.8683,8.56615,0.004262445913115,0.004835000000000001,6.8
FTdiesel,ATRCCS,DAC,ATRCCS_H_DAC_C_solar_E,5.66683988957902,0.0,0.1608771175905431,0.004945537666128533,6.8
FTdiesel,BG,DAC,BG_H_DAC_C_solar_E,4.459077777777777,8.56615,0.05026577112999349,0.0050652489704763595,6.8
FTdiesel,LTE,DAC,LTE_H_DAC_C_solar_E,36.24085369847778,0.0,0.046003325216878485,0.01097637507047636,6.8
FTdiesel,SMR,DAC,SMR_H_DAC_C_solar_E,4.246943732264511,0.0,0.15044277599025624,0.012514430626046269,6.8
FTdiesel,SMRCCS,DAC,SMRCCS_H_DAC_C_solar_E,5.13044237405107,0.0,0.1803063046300462,0.017206985367991888,6.8
FTdiesel,SMR,SMR,SMR_H_C_solar_E,0.6561659544867335,0.0,0.10443945077337774,0.012284181655569909,6.8
FTdiesel,ATRCCS,BEC,ATRCCS_H_BEC_C_wind_E,2.0760621118012423,3.9069972135519437,0.11560043783897725,0.015921350884161637,6.8
FTdiesel,BG,BEC,BG_H_BEC_C_wind_E,0.8683,12.473147213551943,0.004989091378427638,0.016041062188509463,6.8
FTdiesel,LTE,BEC,LTE_H_BEC_C_wind_E,32.650075920700004,3.9069972135519437,0.0007266454653126376,0.021952188288509464,6.8
FTdiesel,SMR,BEC,SMR_H_BEC_C_wind_E,0.6561659544867335,3.9069972135519437,0.10516609623869037,0.023490243844079373,6.8
FTdiesel,SMRCCS,BEC,SMRCCS_H_BEC_C_wind_E,1.5396645962732918,3.9069972135519437,0.13502962487848036,0.028182798586024994,6.8
FTdiesel,BG,BG,BG_H_C_wind_E,0.8683,8.56615,0.004262445913115,0.004835000000000001,6.8
FTdiesel,ATRCCS,DAC,ATRCCS_H_DAC_C_wind_E,5.66683988957902,0.0,0.1608771175905431,0.004945537666128533,6.8
FTdiesel,BG,DAC,BG_H_DAC_C_wind_E,4.459077777777777,8.56615,0.05026577112999349,0.0050652489704763595,6.8
FTdiesel,LTE,DAC,LTE_H_DAC_C_wind_E,36.24085369847778,0.0,0.046003325216878485,0.01097637507047636,6.8
FTdiesel,SMR,DAC,SMR_H_DAC_C_wind_E,4.246943732264511,0.0,0.15044277599025624,0.012514430626046269,6.8
FTdiesel,SMRCCS,DAC,SMRCCS_H_DAC_C_wind_E,5.13044237405107,0.0,0.1803063046300462,0.017206985367991888,6.8
FTdiesel,SMR,SMR,SMR_H_C_wind_E,0.6561659544867335,0.0,0.10443945077337774,0.012284181655569909,6.8
