Fuel,Hydrogen Source,Carbon Source,Fuel Pathway,Electricity Demand [kWh / kg fuel],Lignocellulosic Biomass Demand [kg / kg fuel],NG Demand [GJ / kg fuel],Water Demand [m^3 / kg fuel],CO2 Demand [kg CO2 / kg fuel]
ng,,,fossil,0.0125142666666666,0.0,0.05953857442,0.0004090491672737,0.0
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_grid_E,1.6509937888198758,1.5800356378335068,0.0907456689935761,0.0071266025154937,2.75
sng,BG,BEC,BG_H_BEC_C_grid_E,0.7,8.325035637833507,0.0036501205994426,0.0072208633850589,2.75
sng,LTE,BEC,LTE_H_BEC_C_grid_E,25.725020410000003,1.5800356378335068,0.0002938639749426,0.0118752933850589,2.75
sng,SMR,BEC,SMR_H_BEC_C_grid_E,0.532965318493491,1.5800356378335068,0.0825296519854762,0.0130863607516494,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_grid_E,1.2286335403726707,1.5800356378335068,0.1060442414656258,0.0167812857453074,2.75
sng,BG,BG,BG_H_C_grid_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_grid_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068,2.75
sng,BG,DAC,BG_H_DAC_C_grid_E,2.152152777777778,6.745,0.0219605425577964,0.002782115392472,2.75
sng,LTE,DAC,LTE_H_DAC_C_grid_E,27.17717318777778,0.0,0.0186042859332964,0.007436545392472,2.75
sng,SMR,DAC,SMR_H_DAC_C_grid_E,1.985118096271269,0.0,0.1008400739438301,0.0086476127590625,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_grid_E,2.6807863181504485,0.0,0.1243546634239796,0.0123425377527205,2.75
sng,SMR,SMR,SMR_H_C_grid_E,0.532965318493491,0.0,0.0822357880105336,0.0085544973665904,2.75
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_solar_E,1.6509937888198758,1.5800356378335068,0.0907456689935761,0.0071266025154937,2.75
sng,BG,BEC,BG_H_BEC_C_solar_E,0.7,8.325035637833507,0.0036501205994426,0.0072208633850589,2.75
sng,LTE,BEC,LTE_H_BEC_C_solar_E,25.725020410000003,1.5800356378335068,0.0002938639749426,0.0118752933850589,2.75
sng,SMR,BEC,SMR_H_BEC_C_solar_E,0.532965318493491,1.5800356378335068,0.0825296519854762,0.0130863607516494,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_solar_E,1.2286335403726707,1.5800356378335068,0.1060442414656258,0.0167812857453074,2.75
sng,BG,BG,BG_H_C_solar_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_solar_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068,2.75
sng,BG,DAC,BG_H_DAC_C_solar_E,2.152152777777778,6.745,0.0219605425577964,0.002782115392472,2.75
sng,LTE,DAC,LTE_H_DAC_C_solar_E,27.17717318777778,0.0,0.0186042859332964,0.007436545392472,2.75
sng,SMR,DAC,SMR_H_DAC_C_solar_E,1.985118096271269,0.0,0.1008400739438301,0.0086476127590625,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_solar_E,2.6807863181504485,0.0,0.1243546634239796,0.0123425377527205,2.75
sng,SMR,SMR,SMR_H_C_solar_E,0.532965318493491,0.0,0.0822357880105336,0.0085544973665904,2.75
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_wind_E,1.6509937888198758,1.5800356378335068,0.0907456689935761,0.0071266025154937,2.75
sng,BG,BEC,BG_H_BEC_C_wind_E,0.7,8.325035637833507,0.0036501205994426,0.0072208633850589,2.75
sng,LTE,BEC,LTE_H_BEC_C_wind_E,25.725020410000003,1.5800356378335068,0.0002938639749426,0.0118752933850589,2.75
sng,SMR,BEC,SMR_H_BEC_C_wind_E,0.532965318493491,1.5800356378335068,0.0825296519854762,0.0130863607516494,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_wind_E,1.2286335403726707,1.5800356378335068,0.1060442414656258,0.0167812857453074,2.75
sng,BG,BG,BG_H_C_wind_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_wind_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068,2.75
sng,BG,DAC,BG_H_DAC_C_wind_E,2.152152777777778,6.745,0.0219605425577964,0.002782115392472,2.75
sng,LTE,DAC,LTE_H_DAC_C_wind_E,27.17717318777778,0.0,0.0186042859332964,0.007436545392472,2.75
sng,SMR,DAC,SMR_H_DAC_C_wind_E,1.985118096271269,0.0,0.1008400739438301,0.0086476127590625,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_wind_E,2.6807863181504485,0.0,0.1243546634239796,0.0123425377527205,2.75
sng,SMR,SMR,SMR_H_C_wind_E,0.532965318493491,0.0,0.0822357880105336,0.0085544973665904,2.75
