Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
hydrogen,SMR,n/a,grid,SMR_H_grid_E,South Africa,1,2024,234.88018240380362,7722.484920311108,7957.365102714912,11.445617704248672,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Taiwan,1,2024,163.14337792579465,7570.088827073182,7733.232204998977,11.010906385556435,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Switzerland,1,2024,213.08916383924714,7630.5734009198295,7843.662564759076,11.010906385556435,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Singapore,1,2024,159.4794013529931,7410.683922872806,7570.1633242257985,11.292532143282758,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Hungary,1,2024,178.1849659615062,6233.485918075877,6411.670884037383,11.120068663207235,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Philippines,1,2024,134.02440621563508,6088.727657943203,6222.752064158838,11.382962432460936,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Netherlands,1,2024,217.52450390105952,6196.663419316656,6414.187923217715,11.161408223974401,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Norway,1,2024,255.51415573484388,6136.796364354214,6392.310520089059,11.007676732371499,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Oman,1,2024,184.1630330013403,6163.889844621509,6348.052877622849,11.353249623159535,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Italy,1,2024,179.3420111950225,6114.170704261681,6293.5127154567035,11.20210185410458,hydrogen at standard temperature and pressure
hydrogen,SMR,n/a,grid,SMR_H_grid_E,Austria,1,2024,200.55450714282085,5770.416002132387,5970.970509275207,11.059997113967444,hydrogen at standard temperature and pressure
