Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,South Africa,1,2024,1123.9056647283767,627.6265720031272,1751.5322367315039,-0.47799275036505123,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Taiwan,1,2024,1105.875092566959,1435.827161115914,2541.7022536828727,-0.6005953950433465,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Switzerland,1,2024,1328.2521492244452,5188.754432834036,6517.006582058481,-1.6066088767186744,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Singapore,1,2024,1111.8852832874318,5529.875323905546,6641.760607192978,-0.8306852898505587,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Hungary,1,2024,1081.8343296850685,2199.3719575646032,3281.2062872496717,-1.361403587362084,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Philippines,1,2024,1075.824138964596,1356.9289927671898,2432.7531317317857,-0.639223625558426,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Netherlands,1,2024,1232.0890976968835,3618.737112518779,4850.826210215662,-1.2438394075335815,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Norway,1,2024,1364.3132935472809,2622.726944527759,3987.0402380750397,-1.6166858064182603,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Oman,1,2024,1147.9464276102674,595.5518135356606,1743.498241145928,-0.7534288288203997,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Italy,1,2024,1153.9566183307397,4361.113192216146,5515.0698105468855,-1.1850573176193302,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Austria,1,2024,1250.1196698583014,3540.6723194148763,4790.791989273178,-1.4957626500232293,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Finland,1,2024,1298.2011956220822,3453.747926446577,4751.94912206866,-1.547826786804423,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Portugal,1,2024,1093.8547111260136,3033.762114301332,4127.616825427345,-1.4806472554738503,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Germany,1,2024,1238.0992884173563,3323.084733539398,4561.184021956754,-1.0910059737565283,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Greece,1,2024,1105.8750925669592,1963.7670612620184,3069.642153828978,-1.1313136925548721,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,France,1,2024,1214.0585255354658,3469.5564344114264,4683.614959946892,-1.5948524587358244,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Brazil,1,2024,1105.875092566959,3259.0044069590335,4364.879499525992,-1.4957626500232293,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,United Kingdom,1,2024,1280.1706234606645,3083.379440147621,4363.550063608285,-1.314377915430683,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Spain,1,2024,1117.895474007904,2554.6871341208603,3672.582608128764,-1.4235446538428638,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Sweden,1,2024,1322.241958503973,4858.259543965709,6180.501502469682,-1.6082883650019386,liquid synthetic natural gas at atmospheric pressure
lsng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Czech Republic,1,2024,1093.8547111260136,2718.894697445565,3812.7494085715784,-0.9734417939280258,liquid synthetic natural gas at atmospheric pressure
