Fuel,Hydrogen Source,Carbon Source,Fuel Pathway,Electricity Demand [kWh / kg fuel],Lignocellulosic Biomass Demand [kg / kg fuel],NG Demand [GJ / kg fuel],Water Demand [m^3 / kg fuel],CO2 Demand [kg CO2 / kg fuel]
lsng,ATRCCS,BEC,ATRCCS_H_BEC_C_grid_E,1.67948828326432,0.0,0.09601056865863355,0.002715770143124483,2.75
lsng,BG,BEC,BG_H_BEC_C_grid_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,LTE,BEC,LTE_H_BEC_C_grid_E,25.753514904444447,0.0,0.00555876364,0.0074644610126896995,2.75
lsng,SMR,BEC,SMR_H_BEC_C_grid_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
lsng,SMRCCS,BEC,SMRCCS_H_BEC_C_grid_E,1.257128034817115,0.0,0.11130914113068324,0.012370453372938147,2.75
lsng,BG,BG,BG_H_C_grid_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,ATRCCS,DAC,ATRCCS_H_DAC_C_grid_E,3.1316410610420977,0.0,0.11461485459193001,0.00280888553559654,2.75
lsng,BG,DAC,BG_H_DAC_C_grid_E,2.1806472722222217,6.745,0.027519306197796446,0.002903146405161757,2.75
lsng,LTE,DAC,LTE_H_DAC_C_grid_E,27.205667682222224,0.0,0.024163049573296447,0.0075575764051617565,2.75
lsng,SMR,DAC,SMR_H_DAC_C_grid_E,2.013612590715713,0.0,0.1063988375838301,0.008768643771752236,2.75
lsng,SMRCCS,DAC,SMRCCS_H_DAC_C_grid_E,2.709280812594893,0.0,0.12991342706397968,0.012463568765410203,2.75
lsng,SMR,SMR,SMR_H_C_grid_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
lsng,ATRCCS,BEC,ATRCCS_H_BEC_C_solar_E,1.67948828326432,0.0,0.09601056865863355,0.002715770143124483,2.75
lsng,BG,BEC,BG_H_BEC_C_solar_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,LTE,BEC,LTE_H_BEC_C_solar_E,25.753514904444447,0.0,0.00555876364,0.0074644610126896995,2.75
lsng,SMR,BEC,SMR_H_BEC_C_solar_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
lsng,SMRCCS,BEC,SMRCCS_H_BEC_C_solar_E,1.257128034817115,0.0,0.11130914113068324,0.012370453372938147,2.75
lsng,BG,BG,BG_H_C_solar_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,ATRCCS,DAC,ATRCCS_H_DAC_C_solar_E,3.1316410610420977,0.0,0.11461485459193001,0.00280888553559654,2.75
lsng,BG,DAC,BG_H_DAC_C_solar_E,2.1806472722222217,6.745,0.027519306197796446,0.002903146405161757,2.75
lsng,LTE,DAC,LTE_H_DAC_C_solar_E,27.205667682222224,0.0,0.024163049573296447,0.0075575764051617565,2.75
lsng,SMR,DAC,SMR_H_DAC_C_solar_E,2.013612590715713,0.0,0.1063988375838301,0.008768643771752236,2.75
lsng,SMRCCS,DAC,SMRCCS_H_DAC_C_solar_E,2.709280812594893,0.0,0.12991342706397968,0.012463568765410203,2.75
lsng,SMR,SMR,SMR_H_C_solar_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
lsng,ATRCCS,BEC,ATRCCS_H_BEC_C_wind_E,1.67948828326432,0.0,0.09601056865863355,0.002715770143124483,2.75
lsng,BG,BEC,BG_H_BEC_C_wind_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,LTE,BEC,LTE_H_BEC_C_wind_E,25.753514904444447,0.0,0.00555876364,0.0074644610126896995,2.75
lsng,SMR,BEC,SMR_H_BEC_C_wind_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
lsng,SMRCCS,BEC,SMRCCS_H_BEC_C_wind_E,1.257128034817115,0.0,0.11130914113068324,0.012370453372938147,2.75
lsng,BG,BG,BG_H_C_wind_E,0.7284944944444444,6.745,0.0089150202645,0.0028100310126897,2.75
lsng,ATRCCS,DAC,ATRCCS_H_DAC_C_wind_E,3.1316410610420977,0.0,0.11461485459193001,0.00280888553559654,2.75
lsng,BG,DAC,BG_H_DAC_C_wind_E,2.1806472722222217,6.745,0.027519306197796446,0.002903146405161757,2.75
lsng,LTE,DAC,LTE_H_DAC_C_wind_E,27.205667682222224,0.0,0.024163049573296447,0.0075575764051617565,2.75
lsng,SMR,DAC,SMR_H_DAC_C_wind_E,2.013612590715713,0.0,0.1063988375838301,0.008768643771752236,2.75
lsng,SMRCCS,DAC,SMRCCS_H_DAC_C_wind_E,2.709280812594893,0.0,0.12991342706397968,0.012463568765410203,2.75
lsng,SMR,SMR,SMR_H_C_wind_E,0.5614598129379355,0.0,0.08779455165053365,0.00867552837928018,2.75
