Fuel,Hydrogen Source,Carbon Source,Fuel Pathway,Electricity Demand [kWh / kg fuel],NG Demand [GJ / kg fuel],Water Demand [m^3 / kg fuel],CO2 Demand [kg CO2 / kg fuel]
methanol,SMR,SMR,SMR_H_C_grid_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,LTE,SMR,LTE_H_SMR_C_grid_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMRCCS,SMRCCS,SMRCCS_H_C_grid_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,SMRCCS,LTE_H_SMRCCS_C_grid_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,BEC,SMR_H_BEC_C_grid_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,BEC,SMRCCS_H_BEC_C_grid_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,BEC,LTE_H_BEC_C_grid_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,DAC,SMR_H_DAC_C_grid_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,DAC,SMRCCS_H_DAC_C_grid_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,DAC,LTE_H_DAC_C_grid_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,SMR,SMR_H_C_renewable_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,LTE,SMR,LTE_H_SMR_C_renewable_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMRCCS,SMRCCS,SMRCCS_H_C_renewable_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,SMRCCS,LTE_H_SMRCCS_C_renewable_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,BEC,SMR_H_BEC_C_renewable_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,BEC,SMRCCS_H_BEC_C_renewable_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,BEC,LTE_H_BEC_C_renewable_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,DAC,SMR_H_DAC_C_renewable_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,DAC,SMRCCS_H_DAC_C_renewable_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,DAC,LTE_H_DAC_C_renewable_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,SMR,SMR_H_C_nuke_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,LTE,SMR,LTE_H_SMR_C_nuke_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMRCCS,SMRCCS,SMRCCS_H_C_nuke_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,SMRCCS,LTE_H_SMRCCS_C_nuke_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,BEC,SMR_H_BEC_C_nuke_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,BEC,SMRCCS_H_BEC_C_nuke_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,BEC,LTE_H_BEC_C_nuke_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
methanol,SMR,DAC,SMR_H_DAC_C_nuke_E,0.5646234100699539,0.031183747947257277,0.0037396672628389146,1.662087119
methanol,SMRCCS,DAC,SMRCCS_H_DAC_C_nuke_E,0.5646236945490131,0.04010046230206211,0.005250630036284422,1.662087119
methanol,LTE,DAC,LTE_H_DAC_C_nuke_E,10.998460519455257,10.433837241455258,0.0032444264365180196,1.662087119
