Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,South Africa,1,2024,356.04813472837674,559.0374501107636,915.0855848391404,-0.847097960943012,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Taiwan,1,2024,350.33613256695895,1326.938611487273,1677.2747440542319,-0.9676205075268629,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Switzerland,1,2024,420.7841592244452,4866.481241207373,5287.265400431818,-1.9565657870299684,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Singapore,1,2024,352.2401332874316,5193.346640753482,5545.586774040913,-1.1938066565951861,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Hungary,1,2024,342.7201296850685,2049.15711262404,2391.8772423091086,-1.715520693862267,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Philippines,1,2024,340.816128964596,1251.6952701930102,1592.511399157606,-1.0055933646697202,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Netherlands,1,2024,390.32014769688357,3385.2810302915705,3775.601177988454,-1.5999511286448755,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Norway,1,2024,432.2081635472809,2435.726171350027,2867.934334897308,-1.9664717497628876,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Oman,1,2024,363.6641376102672,535.7320828799252,899.3962204901924,-1.1178609423094716,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Italy,1,2024,365.56813833073977,4102.923799239863,4468.491937570603,-1.5421663460361799,synthetic natural gas at standard temperature and pressure
sng,ATRCCS,BEC,grid,ATRCCS_H_BEC_C_grid_E,Austria,1,2024,396.0321498583014,3315.603997840518,3711.6361476988195,-1.8476001969678566,synthetic natural gas at standard temperature and pressure
