Fuel,Hydrogen Source,Carbon Source,Fuel Pathway,Electricity Demand [kWh / kg fuel],Lignocellulosic Biomass Demand [kg / kg fuel],NG Demand [GJ / kg fuel],Water Demand [m^3 / kg fuel],CO2 Demand [kg CO2 / kg fuel]
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_grid_E,1.6509937888198758,1.5800356378335068,0.09074566899357615,0.007126602515493758,2.75
sng,BG,BEC,BG_H_BEC_C_grid_E,0.7,8.325035637833507,0.0036501205994426108,0.007220863385058975,2.75
sng,LTE,BEC,LTE_H_BEC_C_grid_E,25.725020410000003,1.5800356378335068,0.00029386397494261086,0.011875293385058975,2.75
sng,SMR,BEC,SMR_H_BEC_C_grid_E,0.532965318493491,1.5800356378335068,0.08252965198547625,0.013086360751649454,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_grid_E,1.2286335403726707,1.5800356378335068,0.10604424146562584,0.01678128574530742,2.75
sng,BG,BG,BG_H_C_grid_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_grid_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068397,2.75
sng,BG,DAC,BG_H_DAC_C_grid_E,2.1521527777777774,6.745,0.021960542557796447,0.002782115392472057,2.75
sng,LTE,DAC,LTE_H_DAC_C_grid_E,27.17717318777778,0.0,0.01860428593329645,0.007436545392472057,2.75
sng,SMR,DAC,SMR_H_DAC_C_grid_E,1.9851180962712687,0.0,0.1008400739438301,0.008647612759062536,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_grid_E,2.6807863181504485,0.0,0.12435466342397969,0.012342537752720503,2.75
sng,SMR,SMR,SMR_H_C_grid_E,0.532965318493491,0.0,0.08223578801053365,0.00855449736659048,2.75
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_solar_E,1.6509937888198758,1.5800356378335068,0.09074566899357615,0.007126602515493758,2.75
sng,BG,BEC,BG_H_BEC_C_solar_E,0.7,8.325035637833507,0.0036501205994426108,0.007220863385058975,2.75
sng,LTE,BEC,LTE_H_BEC_C_solar_E,25.725020410000003,1.5800356378335068,0.00029386397494261086,0.011875293385058975,2.75
sng,SMR,BEC,SMR_H_BEC_C_solar_E,0.532965318493491,1.5800356378335068,0.08252965198547625,0.013086360751649454,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_solar_E,1.2286335403726707,1.5800356378335068,0.10604424146562584,0.01678128574530742,2.75
sng,BG,BG,BG_H_C_solar_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_solar_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068397,2.75
sng,BG,DAC,BG_H_DAC_C_solar_E,2.1521527777777774,6.745,0.021960542557796447,0.002782115392472057,2.75
sng,LTE,DAC,LTE_H_DAC_C_solar_E,27.17717318777778,0.0,0.01860428593329645,0.007436545392472057,2.75
sng,SMR,DAC,SMR_H_DAC_C_solar_E,1.9851180962712687,0.0,0.1008400739438301,0.008647612759062536,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_solar_E,2.6807863181504485,0.0,0.12435466342397969,0.012342537752720503,2.75
sng,SMR,SMR,SMR_H_C_solar_E,0.532965318493491,0.0,0.08223578801053365,0.00855449736659048,2.75
sng,ATRCCS,BEC,ATRCCS_H_BEC_C_wind_E,1.6509937888198758,1.5800356378335068,0.09074566899357615,0.007126602515493758,2.75
sng,BG,BEC,BG_H_BEC_C_wind_E,0.7,8.325035637833507,0.0036501205994426108,0.007220863385058975,2.75
sng,LTE,BEC,LTE_H_BEC_C_wind_E,25.725020410000003,1.5800356378335068,0.00029386397494261086,0.011875293385058975,2.75
sng,SMR,BEC,SMR_H_BEC_C_wind_E,0.532965318493491,1.5800356378335068,0.08252965198547625,0.013086360751649454,2.75
sng,SMRCCS,BEC,SMRCCS_H_BEC_C_wind_E,1.2286335403726707,1.5800356378335068,0.10604424146562584,0.01678128574530742,2.75
sng,BG,BG,BG_H_C_wind_E,0.7,6.745,0.0033562566245,0.002689,2.75
sng,ATRCCS,DAC,ATRCCS_H_DAC_C_wind_E,3.1031465665976534,0.0,0.10905609095193,0.0026878545229068397,2.75
sng,BG,DAC,BG_H_DAC_C_wind_E,2.1521527777777774,6.745,0.021960542557796447,0.002782115392472057,2.75
sng,LTE,DAC,LTE_H_DAC_C_wind_E,27.17717318777778,0.0,0.01860428593329645,0.007436545392472057,2.75
sng,SMR,DAC,SMR_H_DAC_C_wind_E,1.9851180962712687,0.0,0.1008400739438301,0.008647612759062536,2.75
sng,SMRCCS,DAC,SMRCCS_H_DAC_C_wind_E,2.6807863181504485,0.0,0.12435466342397969,0.012342537752720503,2.75
sng,SMR,SMR,SMR_H_C_wind_E,0.532965318493491,0.0,0.08223578801053365,0.00855449736659048,2.75
