Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
ng,n/a,n/a,n/a,fossil,South Africa,1,2024,0,2977.9937795175047,2977.9937795175047,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Taiwan,1,2024,0,2879.388667178305,2879.388667178305,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Switzerland,1,2024,0,2879.388667178305,2879.388667178305,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Singapore,1,2024,0,2796.058085938981,2796.058085938981,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Hungary,1,2024,0,2382.4198727005587,2382.4198727005587,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Philippines,1,2024,0,2332.628503073759,2332.628503073759,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Netherlands,1,2024,0,2333.3852440332157,2333.3852440332157,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Norway,1,2024,0,2333.6061305835433,2333.6061305835433,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Oman,1,2024,0,2333.127543057833,2333.127543057833,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Italy,1,2024,0,2250.283730327566,2250.283730327566,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Austria,1,2024,0,2151.367740621238,2151.367740621238,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Finland,1,2024,0,2019.2929556233362,2019.2929556233362,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Portugal,1,2024,0,1969.231613546137,1969.231613546137,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Germany,1,2024,0,1754.8652315984016,1754.8652315984016,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Greece,1,2024,0,1754.002137855454,1754.002137855454,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,France,1,2024,0,1737.9176899997613,1737.9176899997613,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Brazil,1,2024,0,1638.1058826171038,1638.1058826171038,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,United Kingdom,1,2024,0,1472.9704735323883,1472.9704735323883,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Spain,1,2024,0,1390.5643434111037,1390.5643434111037,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Sweden,1,2024,0,1390.9161256949592,1390.9161256949592,0.3831477146184983,natural gas at standard temperature and pressure
ng,n/a,n/a,n/a,fossil,Czech Republic,1,2024,0,1374.3040044134832,1374.3040044134832,0.3831477146184983,natural gas at standard temperature and pressure
