Region,Lower Installation Cost Factor (low),Upper Installation Cost Factor (high),Installation Cost Source,Water price [2024$/m^3],Water price Source,NG price [2024$/GJ],NG price source,NG fugitive emissions [%],NG fugitive emissions source,lignocellulosic biomass upstream emissions [kg CO2e/bone-dry kg],LCB upstream emissions source,lignocellulosic biomass price [2024$/bone-dry kg],LCB price source,Grid Electricity price [2024$/kWh],Grid Electricity Price Source,Grid Electricity Emissions [kgCO2e/kWh],Grid Electricity Emissions Source,Solar Electricity Price [2024$/kWh],Solar Electricity Price Source,Solar Electricity Emissions [kgCO2e/kWh],Solar Electricity Emissions Source,Wind Onshore Electricity Price [2024$/kWh],Wind Onshore Electricity Price Source,Wind Onshore Electricity Emissions [kgCO2e/kWh],Wind Onshore Electricity Emissions Source,Nuclear Electricity Price [2024$/kWh],Nuclear Electricity Price Source,Nuclear Electricity Emissions [kgCO2e/kWh],Nuclear Electricity Emissions Source,Labor Price [2024$/hr],Labor Price Source
South Africa,0.92,0.95,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.38,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=50,50,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.085,https://www.globalpetrolprices.com/electricity_prices/,0.708,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0748,https://ourworldindata.org/grapher/levelized-cost-of-energy,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0497,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,7.43062367,https://tradingeconomics.com/south-africa/wages-in-manufacturing
Taiwan,0.9,0.94,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.91,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=51,48.33333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.179,https://www.globalpetrolprices.com/electricity_prices/,0.035,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0356,Copied value China (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.026,Copied value China (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,12.783676,https://www.conference-board.org/ilcprogram/index.cfm
Switzerland,1.07,1.14,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.91,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=52,48.33333333,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.268,https://www.globalpetrolprices.com/electricity_prices/,0.035,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0533,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,78.576648,https://www.conference-board.org/ilcprogram/index.cfm
Singapore,0.9,0.95,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.35,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=53,46.94444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.322,https://www.globalpetrolprices.com/electricity_prices/,0.471,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.05904,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0834,Copied value Indonesia (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,34.82315,https://www.conference-board.org/ilcprogram/index.cfm
Hungary,0.88,0.92,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.92,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=54,40,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.16,https://www.globalpetrolprices.com/electricity_prices/,0.204,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.08605,https://iea.blob.core.windows.net/assets/2df33f6b-eba0-4639-926a-bc1c3d3e3268/IEA-NEAProjectedCostsofGeneratingElectricity2020-Datafile.xlsx,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0457,Copied value Austria (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,11.19548,https://www.conference-board.org/ilcprogram/index.cfm
Philippines,0.86,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,0.49,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=55,39.16666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.152,https://www.globalpetrolprices.com/electricity_prices/,0.611,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0574,https://docs.google.com/spreadsheets/d/1fC5Inj8ESFZEQaJxT3fgPKZ3X9FTySB2GIfURRDNhuU/edit?gid=1660809619#gid=1660809619,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0579,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,2.681708,https://www.conference-board.org/ilcprogram/index.cfm
Netherlands,1,1.05,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.34,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=56,39.16666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.243,https://www.globalpetrolprices.com/electricity_prices/,0.268,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0593,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0416,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,45.04228,https://www.conference-board.org/ilcprogram/index.cfm
Norway,1.1,1.17,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.88,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=57,39.16666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.124,https://www.globalpetrolprices.com/electricity_prices/,0.03,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0926,Copied value Denmark (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0399,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,63.293516,https://www.conference-board.org/ilcprogram/index.cfm
Oman,0.93,0.98,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.71,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=58,39.16666667,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.223,https://www.globalpetrolprices.com/electricity_prices/,0.565,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0442,Global average (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0523,Copied value Egypt (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,10.0113228,Copied from UAE
Italy,0.93,0.99,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.34,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=59,37.77777778,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.474,https://www.globalpetrolprices.com/electricity_prices/,0.331,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0541,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0503,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,42.295482,https://www.conference-board.org/ilcprogram/index.cfm
Austria,1.04,1.04,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.11,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=60,36.11111111,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.309,https://www.globalpetrolprices.com/electricity_prices/,0.111,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,Copied value Germany (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0457,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,51.473172,https://www.conference-board.org/ilcprogram/index.cfm
Finland,1.06,1.1,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,2.68,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=61,33.88888889,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.129,https://www.globalpetrolprices.com/electricity_prices/,0.079,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0926,Copied value Denmark (https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023),0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0426,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,50.405696,https://www.conference-board.org/ilcprogram/index.cfm
Portugal,0.89,0.93,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,1.59,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=62,33.05555556,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.153,https://www.globalpetrolprices.com/electricity_prices/,0.166,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.046,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0517,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,14.267728,https://www.conference-board.org/ilcprogram/index.cfm
Germany,1.01,1.05,https://www.compassinternational.net/wp-content/uploads/2017/01/Worldwide-Industrial.pdf,3.14,https://tariffs.ib-net.org/sites/IBNET/VisualSearch/IndexCurrentUSD?perPage=63,29.44444444,https://www.globalpetrolprices.com/natural_gas_prices/,2,Assumption,0.056319472,from GREET (not region specific),0.09505,"https://www.nrel.gov/docs/fy11osti/51400.pdf (from INL model, converted from 2011 to 2024 USD using https://data.bls.gov/cgi-bin/cpicalc.pl)",0.272,https://www.globalpetrolprices.com/electricity_prices/,0.381,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table,0.0626,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.037,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.0533,https://www.irena.org/Publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,0.0098,https://greet.anl.gov/publication-facility_ghg_h2_fuels,0.05,placeholder value,0.01,placeholder value,56.211724,https://www.conference-board.org/ilcprogram/index.cfm
