Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,FTdiesel,24.44615260753832,0.061033215576102376,2.3548013591949744,0.00043408170499999995,25.733697572901107,0.08853235350673809
Taiwan,FTdiesel,6.501058897936567,0.01725617823469673,2.3668873873897067,0.00038938781999999997,36.79678971799583,0.12659301625807723
Switzerland,FTdiesel,27.411765408433762,0.06826782490307878,2.8910917913213336,2.2653065e-05,0.0,0.0
Singapore,FTdiesel,0.9735209932027127,0.0037717552956236964,2.4514301546581305,0.000305510255,30.63239601191193,0.1053854816161674
Hungary,FTdiesel,51.39093714238112,0.12676498927571825,2.336063308316018,0.00011204083499999999,0.0,0.0
Philippines,FTdiesel,10.06971863492859,0.025961919931742322,2.293153201047596,0.00037530618499999997,35.39164686791369,0.12175886433806953
Netherlands,FTdiesel,5.099956915719565,0.01383819141405324,2.663713825026576,0.000154897985,0.0,0.0
Norway,FTdiesel,21.492878472425655,0.0538287064114019,2.867531979931867,1.8979595e-05,2.1530564189422923,0.007407219714996499
Oman,FTdiesel,18.275013143264257,0.045978727305472825,2.471951983268664,0.000333673525,21.828982172169688,0.07509885281289333
Italy,FTdiesel,12.655781401551563,0.032270617346963855,2.6422090505370863,0.00017632656,8.220338878891056,0.02828065984336198
Austria,FTdiesel,36.6020747526678,0.09068757493906404,2.7373420968318425,6.3061235e-05,0.0,0.0
Finland,FTdiesel,18.609053110807498,0.04679361745702651,2.7347045299792216,4.408164e-05,4.192847591547009,0.014424769861506825
Portugal,FTdiesel,9.084205983650289,0.02355776284938874,2.330046772852863,6.857144e-05,4.143956778158924,0.014256569440178179
Germany,FTdiesel,19.030138664003527,0.04782085522376638,2.708460667294999,0.00021061228,0.0,0.0
Greece,FTdiesel,8.004327760205324,0.02092340105240205,2.410356782389708,0.0001959184,10.358938767360106,0.035638144355606825
France,FTdiesel,26.000539162622186,0.06482513995198212,2.600493718221309,2.693878e-05,0.0,0.0
Brazil,FTdiesel,68.70691010575452,0.16900728721450065,2.341785342389707,6.3061235e-05,19.977224732517392,0.06872820033313981
United Kingdom,FTdiesel,12.867355606978421,0.0327867523998833,2.890055888173955,0.000129183695,1.9497081405631156,0.006707634992845655
Spain,FTdiesel,21.30530921537091,0.05337113140493695,2.371891261926552,8.938776999999999e-05,5.112561911371392,0.017588888545082466
Sweden,FTdiesel,22.479466319457494,0.05623548643267204,2.7492758002216604,2.204082e-05,1.7821060346122866,0.0061310288191515185
Czech Republic,FTdiesel,34.87658103327972,0.0864782348147717,2.379638617852863,0.00025346943,0.0,0.0
Japan,FTdiesel,9.189850389558206,0.023815482267140618,2.7830718849792215,0.00029510208999999996,41.5157136886971,0.14282766127797852
Belgium,FTdiesel,6.865350398628882,0.01814486696973695,2.681468930026576,8.448981e-05,0.0,0.0
Poland,FTdiesel,11.190987172400249,0.028697253356519934,2.5279607796581307,0.000376530675,3.1210422628166983,0.010737408261614513
India,FTdiesel,41.14883202778633,0.10177938455768257,2.2544758515107515,0.00043346945999999997,23.047722644092165,0.0792917194612848
Indonesia,FTdiesel,14.619983069030981,0.03706228526103495,2.0234244152159944,0.00039551027,34.81377148720778,0.11977078363794615
South Korea,FTdiesel,7.475045488669049,0.019632217504400296,2.3830175864633967,0.00025346943,40.096881524802384,0.1379464136319763
China,FTdiesel,78.01603497926587,0.1917168876099259,2.3068344201212856,0.00034285720000000003,38.606352070879964,0.13281850381050447
United Arab Emirates,FTdiesel,10.874670054831256,0.02792559807894764,2.4162376882686636,0.000234489835,22.32807580562143,0.07681589848285729
United States,FTdiesel,88.15780465008372,0.2164577241177772,2.549571468684465,0.00023510208,12.124526609989685,0.04171234518073368
Turkey,FTdiesel,10.108447857063252,0.02605639982864504,2.3417323851212855,0.00028775515,12.543720837841384,0.043154510709531683
Australia,FTdiesel,78.5068587948625,0.19291425179487454,2.664326070026576,0.00033795924,35.416668795279044,0.12184494796878967
Malaysia,FTdiesel,7.736093501205551,0.020269043858034522,2.2304923819739066,0.00036979597999999995,30.229379424780753,0.10399897247344128
Canada,FTdiesel,111.49795689848374,0.2733960011235748,2.5742730977581543,0.00010714287499999999,10.986441676095902,0.037796960016874465
Mexico,FTdiesel,32.336047638495636,0.08028060625454618,2.2936065742423297,0.000321428625,18.507883738507395,0.06367318575798525
Thailand,FTdiesel,11.625348230281595,0.029756876703058932,2.267998198779174,0.00033918373,33.5607544318933,0.11545999430902006
Russia,FTdiesel,136.22976023609783,0.333729209506417,2.379397073731819,0.000274898005,4.498641714135814,0.01547680186291745
Saudi Arabia,FTdiesel,28.498397559908987,0.07091866290043347,2.3905233982686642,0.00033795924,14.05018096868029,0.048337227280650596
