Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,FTdiesel,24.44615260753832,0.061033215576102376,2.3548013591949744,0.00043408170499999995,18.019043431492967,0.06199141489134857
Taiwan,FTdiesel,6.501058897936567,0.01725617823469673,2.3668873873897067,0.00038938781999999997,6.16439370608389,0.0212075346419098
Switzerland,FTdiesel,11.91598488169044,0.030465884510284726,2.8910917913213336,2.2653065e-05,23.802983629832372,0.08189006477835309
Singapore,FTdiesel,1.0470112370668923,0.003951034668689873,2.4514301546581305,0.000305510255,0.0,0.0
Hungary,FTdiesel,18.541511416877615,0.046628849565305316,2.336063308316018,0.00011204083499999999,23.177945121447607,0.07973972746196542
Philippines,FTdiesel,10.06971863492859,0.025961919931742322,2.293153201047596,0.00037530618499999997,4.759250856001761,0.01637338272190213
Netherlands,FTdiesel,5.099956915719565,0.01383819141405324,2.663713825026576,0.000154897985,30.632396011911936,0.10538548161616743
Norway,FTdiesel,21.492878472425655,0.0538287064114019,2.867531979931867,1.8979595e-05,32.507170316182204,0.11183531965365907
Oman,FTdiesel,18.275013143264257,0.045978727305472825,2.471951983268664,0.000333673525,11.822324485673947,0.04067267083060912
Italy,FTdiesel,11.75089404467967,0.03006314558601389,2.6422090505370863,0.00017632656,23.3502251072855,0.08033242707558011
Austria,FTdiesel,9.657120726756355,0.024955387766163423,2.7373420968318425,6.3061235e-05,23.3502251072855,0.08033242707558011
Finland,FTdiesel,18.609053110807498,0.04679361745702651,2.7347045299792216,4.408164e-05,34.67020385876978,0.11927686394385673
Portugal,FTdiesel,9.084205983650289,0.02355776284938874,2.330046772852863,6.857144e-05,26.541123516500846,0.09131016337517142
Germany,FTdiesel,13.79894112311398,0.03505935429244172,2.708460667294999,0.00021061228,31.332519932422898,0.10779413735845265
Greece,FTdiesel,8.004327760205324,0.02092340105240205,2.410356782389708,0.0001959184,20.758426647186017,0.07141579094749498
France,FTdiesel,15.95728405527506,0.04032462961871202,2.600493718221309,2.693878e-05,29.93460098090079,0.1029848380170222
Brazil,FTdiesel,68.70691010575452,0.16900728721450065,2.341785342389707,6.3061235e-05,32.995143599028594,0.11351410767300277
United Kingdom,FTdiesel,12.867355606978421,0.0327867523998833,2.890055888173955,0.000129183695,29.72650671536288,0.10226892554361505
Spain,FTdiesel,21.30530921537091,0.05337113140493695,2.371891261926552,8.938776999999999e-05,25.59894363309946,0.0880687557901197
Sweden,FTdiesel,22.479466319457494,0.05623548643267204,2.7492758002216604,2.204082e-05,32.259462301835065,0.11098312290150145
Czech Republic,FTdiesel,20.116912701968747,0.05047203935306505,2.379638617852863,0.00025346943,23.3502251072855,0.08033242707558011
Japan,FTdiesel,9.189850389558206,0.023815482267140618,2.7830718849792215,0.00029510208999999996,10.883317676785154,0.03744217966181108
Belgium,FTdiesel,3.4085918579759573,0.009712108124158077,2.681468930026576,8.448981e-05,30.5709421535067,0.10517406020261919
Poland,FTdiesel,11.190987172400249,0.028697253356519934,2.5279607796581307,0.000376530675,33.598398530039475,0.11558950234396444
India,FTdiesel,29.28312225525748,0.07283299797423769,2.2544758515107515,0.00043346945999999997,5.688980011316389,0.01957195572178511
Indonesia,FTdiesel,14.619983069030981,0.03706228526103495,2.0234244152159944,0.00039551027,4.181375475295838,0.014385302021778712
South Korea,FTdiesel,7.475045488669049,0.019632217504400296,2.3830175864633967,0.00025346943,9.464485512890445,0.03256093201580885
China,FTdiesel,78.01603497926587,0.1917168876099259,2.3068344201212856,0.00034285720000000003,7.973956058968025,0.027433022194337044
United Arab Emirates,FTdiesel,10.874670054831256,0.02792559807894764,2.4162376882686636,0.000234489835,12.32141811912569,0.042389716500573084
United States,FTdiesel,77.22609399097482,0.18978982739494238,2.549571468684465,0.00023510208,28.439515215667722,0.09784125299137507
Turkey,FTdiesel,10.108447857063252,0.02605639982864504,2.3417323851212855,0.00028775515,20.04662805182993,0.06896697049753271
Australia,FTdiesel,78.5068587948625,0.19291425179487454,2.664326070026576,0.00033795924,6.391330393975021,0.021988271223549856
Malaysia,FTdiesel,15.393900646700336,0.0389502563825607,2.2304923819739066,0.00036979597999999995,0.0,0.0
Canada,FTdiesel,78.70135691476585,0.19338872975501392,2.5742730977581543,0.00010714287499999999,26.62747568567551,0.09160724313783622
Mexico,FTdiesel,47.276868212502755,0.11672872242289953,2.2936065742423297,0.000321428625,34.83072858538064,0.11982912161311023
Thailand,FTdiesel,11.625348230281595,0.029756876703058932,2.267998198779174,0.00033918373,2.9283584199813664,0.010074512692852639
Russia,FTdiesel,144.09922899779946,0.3529267703223689,2.379397073731819,0.000274898005,11.6666877799746,0.040137229555271034
Saudi Arabia,FTdiesel,26.234779025301034,0.06539656785206888,2.3905233982686642,0.00033795924,13.677948919801171,0.047056627038709206
