Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,ammonia,33.88057380211861,0.00664455248122354,14.145041851870083,0.05672,30.07295742756918,0.10346082953793292
Taiwan,ammonia,14.355511307849394,0.0016441948150371563,20.433624068150245,0.05088,43.001526987159345,0.14793934597901398
Switzerland,ammonia,37.107292826734586,0.007470913432237326,30.847776734028276,0.00296,0.0,0.0
Singapore,ammonia,8.341303481694462,0.00010395952931765103,29.91076332939019,0.039920000000000004,35.79768272946306,0.12315576077431878
Hungary,ammonia,63.197701394265366,0.014152652583283782,22.685067023190456,0.01464,0.0,0.0
Philippines,ammonia,18.23837230111739,0.002638593359990464,18.647927761950505,0.04904,41.35944655971732,0.14229005113994342
Netherlands,ammonia,12.831049847445094,0.0012537810812744247,26.25354855418913,0.02024,0.0,0.0
Norway,ammonia,30.667279796307408,0.005821629670073265,18.350612301467965,0.00248,2.5161084543944385,0.008656237702129338
Oman,ammonia,27.166098767846073,0.0049249791522318264,23.17359889682987,0.04360000000000001,25.509822274515017,0.08776214910832254
Italy,ammonia,21.052123956557306,0.003359193597001393,43.850738158069824,0.023039999999999998,9.606466402457729,0.03304939280815175
Austria,ammonia,47.10675937684926,0.010031771264898088,31.164966337908968,0.008239999999999999,0.0,0.0
Finland,ammonia,27.529549154197397,0.00501805859442074,18.262080427828543,0.0057599999999999995,4.899852683963293,0.01685709909035328
Portugal,ammonia,17.16609057239028,0.0023639826044998774,18.75934554567035,0.008960000000000001,4.8427178184643145,0.016660536427891507
Germany,ammonia,27.98770902087936,0.005135393081947962,30.530687815429072,0.02752,0.0,0.0
Greece,ammonia,15.991134891457742,0.00206307710684502,26.11362406815024,0.0256,12.105680641621706,0.041647508873047856
France,ammonia,35.57181571589171,0.007077678596512193,22.702130770469285,0.0035199999999999997,0.0,0.0
Brazil,ammonia,82.03825245129546,0.018977707250373725,17.153624068150243,0.008239999999999999,23.34581834577179,0.0803172663717191
United Kingdom,ammonia,21.282326130476545,0.003418148245954127,43.270662644108704,0.01688,2.2784712434439927,0.007838687814219921
Spain,ammonia,30.463196077087932,0.005769363942870474,17.947902590630136,0.01168,5.974650796719941,0.02055475684813889
Sweden,ammonia,31.740731385979313,0.00609654002630241,13.886937472788334,0.0028799999999999997,2.0826077853167044,0.007164853326779707
Czech Republic,ammonia,45.22934523515019,0.009550966545384027,25.23934554567035,0.03312,0.0,0.0
Japan,ammonia,17.281036398859737,0.0023934201668509006,24.582080427828544,0.03856,48.51616394412256,0.16691150445535025
Belgium,ammonia,14.751876711800598,0.001745703774961879,28.573548554189134,0.011040000000000001,0.0,0.0
Poland,ammonia,19.458362490150392,0.0029510321701706555,39.91076332939019,0.0492,3.6473177176904814,0.012547968305728397
India,ammonia,52.053834124943876,0.011298714361704697,16.733649239470612,0.056639999999999996,26.93406883774407,0.09266202406252783
Indonesia,ammonia,23.18926299464231,0.003906513718303494,11.65942105963146,0.051680000000000004,40.68412884942023,0.13996673689067898
South Korea,ammonia,15.415252168520214,0.0019155938611801137,16.262181113110028,0.03312,46.858085887489004,0.16120717252886377
China,ammonia,92.1669955976749,0.021571672747574905,14.156484806910296,0.044800000000000006,45.1162208218348,0.15521458583133732
United Arab Emirates,ammonia,19.114195355194887,0.0028628911579598477,15.89359889682987,0.03064,26.093073925337656,0.08976872593964408
United States,ammonia,103.20169342816047,0.024397652736469374,19.18785224798939,0.03072,14.168984909328122,0.04874595177279288
Turkey,ammonia,18.28051142252689,0.0026493851655915055,18.716484806910294,0.0376,14.658864380879153,0.05043129770600697
Australia,ammonia,92.70103380490208,0.021708439635994784,26.33354855418913,0.044160000000000005,41.38868772703431,0.14239065033889348
Malaysia,ammonia,15.699284051622211,0.0019883342687730364,16.73937071699072,0.04832,35.32670879992707,0.12153545610166083
Canada,ammonia,128.59682028848616,0.030901330628259803,16.136409292949182,0.013999999999999999,12.838994158135533,0.04417034770300432
Mexico,ammonia,42.46513156735553,0.008843052959509917,23.416509978230664,0.042,21.628714574179465,0.07440986664092997
Thailand,ammonia,19.93096669815586,0.0030720658454926005,16.93078850071056,0.044320000000000005,39.21982592700727,0.13492905493297502
Russia,ammonia,155.5061256160206,0.0377927887849638,14.219320374349977,0.03592,5.257210331622058,0.018086526517221712
Saudi Arabia,ammonia,38.28959708265963,0.007773700895868482,12.53359889682987,0.044160000000000005,16.41934638128767,0.05648793276052569
