Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,ammonia,33.88057380211861,0.00664455248122354,14.145041851870083,0.05672,21.057445183137673,0.07244451271027098
Taiwan,ammonia,14.355511307849394,0.0016441948150371563,20.433624068150245,0.05088,7.203844257696276,0.02478358520469517
Switzerland,ammonia,20.247192340312665,0.003153051056908318,30.847776734028276,0.00296,27.81668321550792,0.09569850678643316
Singapore,ammonia,8.42126414544956,0.00012443741091820986,29.91076332939019,0.039920000000000004,0.0,0.0
Hungary,ammonia,27.45606077813814,0.004999238262106242,22.685067023190456,0.01464,27.086249650723964,0.09318557593429096
Philippines,ammonia,18.23837230111739,0.002638593359990464,18.647927761950505,0.04904,5.5617638302542565,0.01913429036562463
Netherlands,ammonia,12.831049847445094,0.0012537810812744247,26.25354855418913,0.02024,35.79768272946307,0.1231557607743188
Norway,ammonia,30.667279796307408,0.005821629670073265,18.350612301467965,0.00248,37.98858466568507,0.1306931814720913
Oman,ammonia,27.166098767846073,0.0049249791522318264,23.17359889682987,0.04360000000000001,13.815824948800785,0.047530965765389246
Italy,ammonia,20.06756614487286,0.0031070488879688363,43.850738158069824,0.023039999999999998,27.28757978080138,0.09387821756486414
Austria,ammonia,17.789447370858756,0.0025236239345548315,31.164966337908968,0.008239999999999999,27.28757978080138,0.09387821756486414
Finland,ammonia,27.529549154197397,0.00501805859442074,18.262080427828543,0.0057599999999999995,40.51635260328374,0.1393895316176742
Portugal,ammonia,17.16609057239028,0.0023639826044998774,18.75934554567035,0.008960000000000001,31.016532907113156,0.10670703843110209
Germany,ammonia,22.29593273045604,0.003677732333543716,30.530687815429072,0.02752,36.6158627362772,0.125970568144702
Greece,ammonia,15.991134891457742,0.00206307710684502,26.11362406815024,0.0256,24.258747856022367,0.08345804308673534
France,ammonia,24.644306125238636,0.004279149456337352,22.702130770469285,0.0035199999999999997,34.98222431345737,0.12035031656827959
Brazil,ammonia,82.03825245129546,0.018977707250373725,17.153624068150243,0.008239999999999999,38.5588408334689,0.1326550495826733
United Kingdom,ammonia,21.282326130476545,0.003418148245954127,43.270662644108704,0.01688,34.73904083892114,0.1195136857159255
Spain,ammonia,30.463196077087932,0.005769363942870474,17.947902590630136,0.01168,29.915481049237933,0.10291905918581437
Sweden,ammonia,31.740731385979313,0.00609654002630241,13.886937472788334,0.0028799999999999997,37.699107704637164,0.12969728585410065
Czech Republic,ammonia,29.17016765563514,0.005438220081911971,25.23934554567035,0.03312,27.28757978080138,0.09387821756486414
Japan,ammonia,17.281036398859737,0.0023934201668509006,24.582080427828544,0.03856,12.718481214659484,0.04375574368103141
Belgium,ammonia,10.990769212109248,0.000782486232126729,28.573548554189134,0.011040000000000001,35.725866416927914,0.12290868912241566
Poland,ammonia,19.458362490150392,0.0029510321701706555,39.91076332939019,0.0492,39.26381763701094,0.13508040083304934
India,ammonia,39.14341255809945,0.007992362565165426,16.733649239470612,0.056639999999999996,6.648265497095545,0.02287221218513597
Indonesia,ammonia,23.18926299464231,0.003906513718303494,11.65942105963146,0.051680000000000004,4.88644611995716,0.016810976116360163
South Korea,ammonia,15.415252168520214,0.0019155938611801137,16.262181113110028,0.03312,11.06040315802593,0.03805141175454495
China,ammonia,92.1669955976749,0.021571672747574905,14.156484806910296,0.044800000000000006,9.318538092371725,0.03205882505701851
United Arab Emirates,ammonia,19.114195355194887,0.0028628911579598477,15.89359889682987,0.03064,14.399076599623424,0.049537542596710775
United States,ammonia,91.30750456281253,0.02135155757066042,19.18785224798939,0.03072,33.23503464352958,0.11433941148698816
Turkey,ammonia,18.28051142252689,0.0026493851655915055,18.716484806910294,0.0376,23.426924570833513,0.08059629836735127
Australia,ammonia,92.70103380490208,0.021708439635994784,26.33354855418913,0.044160000000000005,7.4690473958916295,0.025695970916670433
Malaysia,ammonia,24.03131984393713,0.004122164009972059,16.73937071699072,0.04832,0.0,0.0
Canada,ammonia,92.91265643600035,0.021762636074344793,16.136409292949182,0.013999999999999999,31.11744592592871,0.10705421228864437
Mexico,ammonia,58.72141086820218,0.013006277064401467,23.416509978230664,0.042,40.70394528232899,0.14003491191444112
Thailand,ammonia,19.93096669815586,0.0030720658454926005,16.93078850071056,0.044320000000000005,3.4221431975442065,0.011773294158656234
Russia,ammonia,164.06845868908277,0.03998559753192142,14.219320374349977,0.03592,13.633944517067091,0.04690523747148242
Saudi Arabia,ammonia,35.82667913602567,0.007142948976930765,12.53359889682987,0.044160000000000005,15.984347931204594,0.05499139552764111
