Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,bio_cfp,20.08616868887427,0.05014791011768412,1.9446488019880355,0.00043408170499999995,16.895503076352817,0.058126067845182136
Taiwan,bio_cfp,5.3415916924282945,0.014178529951601335,1.963314817731543,0.00038938781999999997,5.780025627939836,0.019885182481884835
Switzerland,bio_cfp,9.790762835780702,0.025032278303811266,2.4063660418949517,2.2653065e-05,22.318797591736942,0.07678397838629109
Singapore,bio_cfp,0.8602762432394983,0.003246365598913226,2.045664255817041,0.000305510255,0.0,0.0
Hungary,bio_cfp,15.234623298197384,0.038312570209843654,1.9412640553895528,0.00011204083499999999,21.732732072698525,0.07476772092610169
Philippines,bio_cfp,8.27377912581246,0.021331598129483126,1.9005472773040553,0.00037530618499999997,4.462497567333416,0.015352454152183528
Netherlands,bio_cfp,4.190376970957209,0.011370142842268487,2.214081342526991,0.000154897985,28.72237602528684,0.09881438688010052
Norway,bio_cfp,17.659612518065202,0.04422832887617249,2.369646255407936,1.8979595e-05,30.480252637643787,0.10486205854584268
Oman,bio_cfp,15.015655129053211,0.03777839759016685,2.0530261093300264,0.000333673525,11.085167782449572,0.0381366101788182
Italy,bio_cfp,9.655116034649174,0.02470136807428152,2.221089847415523,0.00017632656,21.89426989471358,0.07532346397557337
Austria,bio_cfp,7.934768267242079,0.02050458149446624,2.2811296267834837,6.3061235e-05,21.89426989471358,0.07532346397557337
Finland,bio_cfp,15.290118896199566,0.038447951663144464,2.260945426467464,4.408164e-05,32.50841467698766,0.11183960066265154
Portugal,bio_cfp,7.4640331638858575,0.019356223702023535,1.9308608615605478,6.857144e-05,24.88620640311903,0.08561670612942544
Germany,bio_cfp,11.337892860950355,0.028806500382552634,2.256634855612489,0.00021061228,29.378845160165945,0.10107285585257267
Greece,bio_cfp,6.576751778230562,0.01719170168944787,2.006784212731543,0.0001959184,19.46407769153795,0.06696280633547472
France,bio_cfp,13.111294218612603,0.03313271114032318,2.1574412232704985,2.693878e-05,28.068090566797565,0.09656343047007845
Brazil,bio_cfp,56.45299727246016,0.1388647504226361,1.938212772731543,6.3061235e-05,30.93779935108917,0.10643616919456848
United Kingdom,bio_cfp,10.572456101816293,0.02693921820897628,2.4228767722109716,0.000129183695,27.872971590757906,0.09589215724501317
Spain,bio_cfp,17.505496334691358,0.04385236260797397,1.9639320339025381,8.938776999999999e-05,24.002774206565025,0.08257740984085342
Sweden,bio_cfp,18.470241914028485,0.046205858440040846,2.2667433799782035,2.204082e-05,30.247989946544177,0.10406299876764313
Czech Republic,bio_cfp,16.529050952029994,0.04147032511793078,1.9804527065605482,0.00025346943,21.89426989471358,0.07532346397557337
Japan,bio_cfp,7.550835835544218,0.019567978728774305,2.309312781467464,0.00029510208999999996,10.204710809879728,0.03510754963583933
Belgium,bio_cfp,2.800667743099834,0.007979948633973184,2.231836447526991,8.448981e-05,28.664753995699815,0.0986161482135147
Poland,bio_cfp,9.195068841652576,0.023579083427985967,2.122194880817041,0.000376530675,31.503439562872313,0.10838215690369371
India,bio_cfp,24.060462306639394,0.05984319524274993,1.8662565861330607,0.00043346945999999997,5.334255375316661,0.018351586717956156
Indonesia,bio_cfp,12.01250155259556,0.030452207580458614,1.6702984167650998,0.00039551027,3.920654416247981,0.01348833613100898
South Korea,bio_cfp,6.141867272648693,0.01613080139279076,1.9706717000735332,0.00025346943,8.87434700443963,0.030530662137176066
China,bio_cfp,64.1018349262628,0.15752408188155767,1.9054551796460453,0.00034285720000000003,7.476756445879432,0.025722492575160735
United Arab Emirates,bio_cfp,8.935167045052074,0.022945053266929145,1.9973118143300261,0.000234489835,11.55314145993315,0.03974659300112559
United States,bio_cfp,63.45278032041953,0.15594071384924646,2.1109056320995037,0.00023510208,26.666227796337857,0.09174056309897169
Turkey,bio_cfp,8.30560097121589,0.021409227488072266,1.9403531446460454,0.00028775515,18.796661832127597,0.06466667704298068
Australia,bio_cfp,64.50512006134579,0.15850789554692268,2.2146935875269906,0.00033795924,5.992812145880109,0.020617237841375573
Malaysia,bio_cfp,12.648390531361,0.032003458079279255,1.8466597749620655,0.00036979597999999995,0.0,0.0
Canada,bio_cfp,64.66492934130761,0.15889775011829496,2.126833944441494,0.00010714287499999999,24.967174260568687,0.08589526209512408
Mexico,bio_cfp,38.8450143972832,0.09591009460933085,1.9075806380475635,0.000321428625,32.65893021476279,0.11235742344193983
Thailand,bio_cfp,9.551961380963332,0.024449722404472136,1.8775856042185581,0.00033918373,2.745766659676646,0.009446337195533592
Russia,bio_cfp,118.39905722808884,0.28998209891435883,1.9648578581590308,0.000274898005,10.939235483105596,0.03763455524182473
Saudi Arabia,bio_cfp,21.55579266305663,0.05373305626608134,1.9715975243300263,0.00033795924,12.82508857539004,0.04412250794100146
