Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,bio_leo,15.586866902566435,0.038914778251322876,1.5213903295427154,0.00043408170499999995,16.895503076352817,0.058126067845182136
Taiwan,bio_leo,4.145075153324355,0.011002539242442638,1.5468465881596776,0.00038938781999999997,5.780025627939836,0.019885182481884835
Switzerland,bio_leo,7.597631960565825,0.019425047963757543,1.906151483550482,2.2653065e-05,22.318797591736942,0.07678397838629109
Singapore,bio_leo,0.6675743647538506,0.0025191797047566635,1.626932611954024,0.000305510255,0.0,0.0
Hungary,bio_leo,11.822067679401167,0.029730554482838675,1.533849482982293,0.00011204083499999999,21.732732072698525,0.07476772092610169
Philippines,bio_leo,6.420452601630469,0.016553320148478906,1.495396119187947,0.00037530618499999997,4.462497567333416,0.015352454152183528
Netherlands,bio_leo,3.2517325294627946,0.008823230845600346,1.7500814128409448,0.000154897985,28.72237602528684,0.09881438688010052
Norway,bio_leo,13.703859314018596,0.034321183207909854,1.8558512113165582,1.8979595e-05,30.480252637643787,0.10486205854584268
Oman,bio_leo,11.65214838014529,0.029316036529969475,1.6207139797201,0.000333673525,11.085167782449572,0.0381366101788182
Italy,bio_leo,7.492370042887758,0.019168261625642457,1.7865143035144464,0.00017632656,21.89426989471358,0.07532346397557337
Austria,bio_leo,6.157380175379853,0.0159115552397058,1.8103394542239832,6.3061235e-05,21.89426989471358,0.07532346397557337
Finland,bio_leo,11.865132263450862,0.029835610490600108,1.7720479395787518,4.408164e-05,32.50841467698766,0.11183960066265154
Portugal,bio_leo,5.792089735175425,0.015020429592770262,1.5189194605709853,6.857144e-05,24.88620640311903,0.08561670612942544
Germany,bio_leo,8.798204860097474,0.022353844296860843,1.790371511635291,0.00021061228,29.378845160165945,0.10107285585257267
Greece,bio_leo,5.103559379906915,0.01334076051101155,1.5903159831596776,0.0001959184,19.46407769153795,0.06696280633547472
France,bio_leo,10.174364313643379,0.02571098384489079,1.7002315364579068,2.693878e-05,28.068090566797565,0.09656343047007845
Brazil,bio_leo,43.80752588342908,0.10775904632796561,1.5217445431596777,6.3061235e-05,30.93779935108917,0.10643616919456848
United Kingdom,bio_leo,8.20422593500944,0.020904833330165597,1.9407695281957136,0.000129183695,27.872971590757906,0.09589215724501317
Spain,bio_leo,13.584265155720493,0.0340294333837878,1.5429369757483697,8.938776999999999e-05,24.002774206565025,0.08257740984085342
Sweden,bio_leo,14.3329077252861,0.0358557461494717,1.7687922359248867,2.204082e-05,30.247989946544177,0.10406299876764313
Czech Republic,bio_leo,12.826543538775274,0.03218097229151428,1.5685113055709854,0.00025346943,21.89426989471358,0.07532346397557337
Japan,bio_leo,5.859448608382313,0.015184751493528862,1.820415294578752,0.00029510208999999996,10.204710809879728,0.03510754963583933
Belgium,bio_leo,2.173318168645471,0.00619244013996319,1.7678365178409448,8.448981e-05,28.664753995699815,0.0986161482135147
Poland,bio_leo,7.1353734211224,0.01829736874011711,1.7034632369540237,0.000376530675,31.503439562872313,0.10838215690369371
India,bio_leo,18.670918749952172,0.046438319508373946,1.465632256599255,0.00043346945999999997,5.334255375316661,0.018351586717956156
Indonesia,bio_leo,9.321701204814156,0.023630913082435888,1.3058887158897174,0.00039551027,3.920654416247981,0.01348833613100898
South Korea,bio_leo,4.766089003575386,0.01251750188080563,1.545149813337062,0.00025346943,8.87434700443963,0.030530662137176066
China,bio_leo,49.743023902779925,0.12223868754008875,1.4912503643653314,0.00034285720000000003,7.476756445879432,0.025722492575160735
United Arab Emirates,bio_leo,6.933689626960409,0.017805361335137018,1.5649996847201,0.000234489835,11.55314145993315,0.03974659300112559
United States,bio_leo,49.23935752864555,0.12100999394701527,1.658222773869215,0.00023510208,26.666227796337857,0.09174056309897169
Turkey,bio_leo,6.44514635366353,0.016613560530744077,1.5261483293653315,0.00028775515,18.796661832127597,0.06466667704298068
Australia,bio_leo,50.05597316760433,0.12300212694441201,1.7506936578409447,0.00033795924,5.992812145880109,0.020617237841375573
Malaysia,bio_leo,9.815151052336136,0.024834683469520707,1.4505622740105628,0.00036979597999999995,0.0,0.0
Canada,bio_leo,50.17998516885471,0.12330465409179689,1.665097429046599,0.00010714287499999999,24.967174260568687,0.08589526209512408
Mexico,bio_leo,30.143731172291766,0.07442623341684074,1.5092197228049093,0.000321428625,32.65893021476279,0.11235742344193983
Thailand,bio_leo,7.4123220316275455,0.01897298458587038,1.474697860393601,0.00033918373,2.745766659676646,0.009446337195533592
Russia,bio_leo,91.87766840899693,0.22502610875754245,1.5370725571314081,0.000274898005,10.939235483105596,0.03763455524182473
Saudi Arabia,bio_leo,16.72729510653194,0.04169685166247912,1.5392853947201,0.00033795924,12.82508857539004,0.04412250794100146
