Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,compressed_hydrogen,438.1704908749996,0.44338619783910455,449.5806429320899,0.140382,516.6185633652943,1.7773371724148683
Taiwan,compressed_hydrogen,108.29765925058994,0.1099631873647823,458.4940016016286,0.125928,738.7164081925108,2.5414265480525833
Switzerland,compressed_hydrogen,492.6853966182634,0.4984878074476782,566.2965780106518,0.007326,0.0,0.0
Singapore,compressed_hydrogen,6.688572663865257,0.007260556855744371,484.16688204511576,0.098802,614.9627108688618,2.1156732707326307
Hungary,compressed_hydrogen,933.4787080320027,0.9440250533153642,455.1984798276802,0.036234,0.0,0.0
Philippines,compressed_hydrogen,173.897979404711,0.1762695155523986,442.98959938419307,0.12137400000000001,710.5073691115168,2.444378208499784
Netherlands,compressed_hydrogen,82.54212485506892,0.08393046508134425,519.454490914858,0.050094,0.0,0.0
Norway,compressed_hydrogen,383.8823986934868,0.3885138428199527,548.6678606715745,0.006138,43.223827856347796,0.1487041338249927
Oman,compressed_hydrogen,324.730500960653,0.328725336684938,480.79416470603854,0.10791000000000002,438.2291886956989,1.507652032540957
Italy,compressed_hydrogen,221.43586699612143,0.22431901849044272,534.1870451495255,0.057024,165.0279618759741,0.5677502744372671
Austria,compressed_hydrogen,661.6247967655381,0.6692453781983527,538.2611322453193,0.020394,0.0,0.0
Finland,compressed_hydrogen,330.87093754752107,0.3349318582779358,524.0621757932163,0.014256,84.17379169931907,0.28958543021715216
Portugal,compressed_hydrogen,155.78194980131548,0.15795851643658324,449.9162407146544,0.022176,83.19228091165398,0.2862087114312849
Germany,compressed_hydrogen,338.61147577132436,0.3427557022258079,532.257371358345,0.06811199999999999,0.0,0.0
Greece,compressed_hydrogen,135.93126007286196,0.13789418832365563,472.5520016016286,0.06336,207.96156668982383,0.7154559458795628
France,compressed_hydrogen,466.7437545570985,0.472266974558569,504.01384958439667,0.008712,0.0,0.0
Brazil,compressed_hydrogen,1251.7868275768665,1.2657588892134022,450.3760016016286,0.020394,401.054108609984,1.3797575734386005
United Kingdom,compressed_hydrogen,225.3250961844594,0.22825010459418318,579.3075344627548,0.041778,39.141495920120995,0.13465957403773268
Spain,compressed_hydrogen,380.43443665151494,0.3850287728965696,456.7757624886029,0.028908,102.63757791846349,0.3531069060561896
Sweden,compressed_hydrogen,402.0181929118524,0.4068448192627633,522.1015400671648,0.007128,35.776788654559006,0.12308387830891086
Czech Republic,compressed_hydrogen,629.9061828437772,0.6371854001462417,465.9542407146544,0.081972,0.0,0.0
Japan,compressed_hydrogen,157.72394129414766,0.15992140815660483,539.7041757932162,0.095436,833.4514813574708,2.86734624782239
Belgium,compressed_hydrogen,114.99418983520209,0.11673178778652597,525.196490914858,0.027324000000000005,0.0,0.0
Poland,compressed_hydrogen,194.50951999918726,0.19710288301003992,508.91688204511576,0.12177,62.656692278713074,0.21555955628480528
India,compressed_hydrogen,745.2048393846368,0.7537249313898133,433.8178384972189,0.140184,462.69609439147257,1.591826206817229
Indonesia,compressed_hydrogen,257.5424918161488,0.2608142323771918,385.78775140142506,0.12790800000000002,698.9061933326097,2.4044663616988187
South Korea,compressed_hydrogen,126.20181287878846,0.12806003023999582,457.03752337557705,0.081972,804.9676215432621,2.7693524348787184
China,compressed_hydrogen,1422.9103352979398,1.4387240734825033,440.7411211581416,0.11088000000000002,775.044397997263,2.6664067389665513
United Arab Emirates,compressed_hydrogen,188.69487088381794,0.19122565509966227,462.77616470603857,0.075834,448.2487762488737,1.5421226975021984
United States,compressed_hydrogen,1609.3398036046551,1.6271599451420615,490.8820886974225,0.076032,243.40674327863428,0.8373989700011273
Turkey,compressed_hydrogen,174.60991317217503,0.176989111339773,452.0271211581416,0.09306,251.82230498134976,0.8663512603399688
Australia,compressed_hydrogen,1431.9328260410734,1.447843666662513,519.6524909148579,0.10929600000000002,711.0096984845694,2.446106386174443
Malaysia,compressed_hydrogen,131.0004864593708,0.13291034841758703,429.3980776102447,0.119592,606.8719244722989,2.087838313887474
Canada,compressed_hydrogen,2038.38644093734,2.060824096108664,492.19761047137087,0.03465,220.5590432203636,0.7587953937896461
Mexico,compressed_hydrogen,583.2052316904606,0.5899818409780763,448.1409580537317,0.10395000000000001,371.55625540529974,1.2782752909096788
Thailand,compressed_hydrogen,202.49409307689862,0.20517338817960162,436.52271894070594,0.10969200000000001,673.7511657989664,2.3179248227780604
Russia,compressed_hydrogen,2493.0148831277284,2.5203453700975524,454.19840381906425,0.08890200000000001,90.31278201930087,0.3107055688852698
Saudi Arabia,compressed_hydrogen,512.660239354775,0.5186776247362443,454.4601647060385,0.10929600000000002,282.0653458951686,0.9703972328130612
