Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,compressed_hydrogen,438.1704908749996,0.44338619783910455,449.5806429320899,0.140382,361.74250919143316,1.24451278761725
Taiwan,compressed_hydrogen,108.29765925058994,0.1099631873647823,458.4940016016286,0.125928,123.75369732364891,0.42575327731995244
Switzerland,compressed_hydrogen,207.83667510659146,0.21057346849320083,566.2965780106518,0.007326,477.85838672484647,1.6439894616712198
Singapore,compressed_hydrogen,8.03949538583879,0.008626018566126862,484.16688204511576,0.098802,0.0,0.0
Hungary,compressed_hydrogen,329.62936309882156,0.33367692167592816,455.1984798276802,0.036234,465.3103844280541,1.600820221339709
Philippines,compressed_hydrogen,173.897979404711,0.1762695155523986,442.98959938419307,0.12137400000000001,95.54465824265502,0.32870493776715365
Netherlands,compressed_hydrogen,82.54212485506892,0.08393046508134425,519.454490914858,0.050094,614.9627108688619,2.115673270732631
Norway,compressed_hydrogen,383.8823986934868,0.3885138428199527,548.6678606715745,0.006138,652.5998675566051,2.245157424785045
Oman,compressed_hydrogen,324.730500960653,0.328725336684938,480.79416470603854,0.10791000000000002,237.33986435975157,0.816526918186284
Italy,compressed_hydrogen,204.80191904673052,0.20750605158423233,534.1870451495255,0.057024,468.7690027835402,1.6127190019959035
Austria,compressed_hydrogen,166.3134639659168,0.16860337354810326,538.2611322453193,0.020394,468.7690027835402,1.6127190019959035
Finland,compressed_hydrogen,330.87093754752107,0.3349318582779358,524.0621757932163,0.014256,696.023991824673,2.3945506439106756
Portugal,compressed_hydrogen,155.78194980131548,0.15795851643658324,449.9162407146544,0.022176,532.8280967922211,1.8331032798491598
Germany,compressed_hydrogen,242.44981880117643,0.24555912801477403,532.257371358345,0.06811199999999999,629.0180953687924,2.164028399866166
Greece,compressed_hydrogen,135.93126007286196,0.13789418832365563,472.5520016016286,0.06336,416.73717979363374,1.4337124782154538
France,compressed_hydrogen,282.1252145483468,0.2856615208873211,504.01384958439667,0.008712,600.9540801455399,2.067478989913519
Brazil,compressed_hydrogen,1251.7868275768665,1.2657588892134022,450.3760016016286,0.020394,662.3962077689117,2.278860045727537
United Kingdom,compressed_hydrogen,225.3250961844594,0.22825010459418318,579.3075344627548,0.041778,596.7764698273104,2.0531066412660253
Spain,compressed_hydrogen,380.43443665151494,0.3850287728965696,456.7757624886029,0.028908,513.9133016518961,1.7680301855094565
Sweden,compressed_hydrogen,402.0181929118524,0.4068448192627633,522.1015400671648,0.007128,647.6269887799132,2.228049092002435
Czech Republic,compressed_hydrogen,358.5889267136765,0.3629481557904174,465.9542407146544,0.081972,468.7690027835402,1.6127190019959035
Japan,compressed_hydrogen,157.72394129414766,0.15992140815660483,539.7041757932162,0.095436,218.4887704886088,0.751672977089759
Belgium,compressed_hydrogen,51.45087562910715,0.05250460359017767,525.196490914858,0.027324000000000005,613.7289898323638,2.1114288660324307
Poland,compressed_hydrogen,194.50951999918726,0.19710288301003992,508.91688204511576,0.12177,674.5068924040672,2.3205247699783293
India,compressed_hydrogen,527.0853162860647,0.5332579481689742,433.8178384972189,0.140184,114.20949796018043,0.3929181035330664
Indonesia,compressed_hydrogen,257.5424918161488,0.2608142323771918,385.78775140142506,0.12790800000000002,83.94348246374771,0.28879309096618727
South Korea,compressed_hydrogen,126.20181287878846,0.12806003023999582,457.03752337557705,0.081972,190.00491067440015,0.6536791641460872
China,compressed_hydrogen,1422.9103352979398,1.4387240734825033,440.7411211581416,0.11088000000000002,160.08168712840094,0.5507334682339201
United Arab Emirates,compressed_hydrogen,188.69487088381794,0.19122565509966227,462.77616470603857,0.075834,247.35945191292637,0.8509975831475254
United States,compressed_hydrogen,1408.3893706910883,1.4240468304056317,490.8820886974225,0.076032,570.9393860676871,1.9642186053936006
Turkey,compressed_hydrogen,174.60991317217503,0.176989111339773,452.0271211581416,0.09306,402.4474195795582,1.384551019811929
Australia,compressed_hydrogen,1431.9328260410734,1.447843666662513,519.6524909148579,0.10929600000000002,128.30957994957413,0.44142700667932594
Malaysia,compressed_hydrogen,271.7689086251675,0.27519375765475795,429.3980776102447,0.119592,0.0,0.0
Canada,compressed_hydrogen,1435.5081568025848,1.4514574760813554,492.19761047137087,0.03465,534.5616655285487,1.839067324454798
Mexico,compressed_hydrogen,857.852490116471,0.8675849259971682,448.1409580537317,0.10395000000000001,699.246616688876,2.4056375296133217
Thailand,compressed_hydrogen,202.49409307689862,0.20517338817960162,436.52271894070594,0.10969200000000001,58.78845493010452,0.20225155204542958
Russia,compressed_hydrogen,2637.6741412966267,2.666561489546193,454.19840381906425,0.08890200000000001,234.21536928563623,0.8057776311221919
Saudi Arabia,compressed_hydrogen,471.0496315857507,0.47661919257711766,454.4601647060385,0.10929600000000002,274.5925765511722,0.9446884571750943
