Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,liquid_hydrogen,438.1704908749996,0.44338619783910455,259.92307237858716,0.140382,289.6858328474884,0.9966142054360205
Taiwan,liquid_hydrogen,108.29765925058994,0.1099631873647823,271.8790658698398,0.125928,414.22374866161965,1.4250654513797674
Switzerland,liquid_hydrogen,492.6853966182634,0.4984878074476782,342.15581281105756,0.007326,0.0,0.0
Singapore,liquid_hydrogen,6.688572663865257,0.007260556855744371,296.5377347060888,0.098802,344.8307856143193,1.18633091593341
Hungary,liquid_hydrogen,933.4787080320027,0.9440250533153642,272.6403905248432,0.036234,0.0,0.0
Philippines,liquid_hydrogen,173.897979404711,0.1762695155523986,261.44572168859406,0.12137400000000001,398.4059682729832,1.3706471027887204
Netherlands,liquid_hydrogen,82.54212485506892,0.08393046508134425,311.54111143107144,0.050094,0.0,0.0
Norway,liquid_hydrogen,383.8823986934868,0.3885138428199527,318.4418258285524,0.006138,24.237089913799533,0.08338353266740409
Oman,liquid_hydrogen,324.730500960653,0.328725336684938,287.07974772358364,0.10791000000000002,245.730208915526,0.8453924532750845
Italy,liquid_hydrogen,221.43586699612143,0.22431901849044272,339.4584165598328,0.057024,92.5368656281945,0.3183571454118573
Austria,liquid_hydrogen,661.6247967655381,0.6692453781983527,327.30511793981884,0.020394,0.0,0.0
Finland,liquid_hydrogen,330.87093754752107,0.3349318582779358,304.99246862981187,0.014256,47.19914591049387,0.1623805307856065
Portugal,liquid_hydrogen,155.78194980131548,0.15795851643658324,265.3297281973415,0.022176,46.64877898577206,0.16048708818957638
Germany,liquid_hydrogen,338.61147577132436,0.3427557022258079,323.32978026732064,0.06811199999999999,0.0,0.0
Greece,liquid_hydrogen,135.93126007286196,0.13789418832365563,285.9370658698397,0.06336,116.6112174800283,0.40118080581099774
France,liquid_hydrogen,466.7437545570985,0.472266974558569,299.1431049223241,0.008712,0.0,0.0
Brazil,liquid_hydrogen,1251.7868275768665,1.2657588892134022,263.7610658698398,0.020394,224.88486033638927,0.7736776223942433
United Kingdom,liquid_hydrogen,225.3250961844594,0.22825010459418318,363.2804621210645,0.041778,21.947985706621512,0.0755082639731354
Spain,liquid_hydrogen,380.43443665151494,0.3850287728965696,268.132403542338,0.028908,57.552427166144064,0.19799921144676164
Sweden,liquid_hydrogen,402.0181929118524,0.4068448192627633,298.97498647480853,0.007128,20.06127838398294,0.06901737244157853
Czech Republic,liquid_hydrogen,629.9061828437772,0.6371854001462417,281.36772819734153,0.081972,0.0,0.0
Japan,liquid_hydrogen,157.72394129414766,0.15992140815660483,320.6344686298119,0.095436,467.3449690662653,1.6078198593015378
Belgium,liquid_hydrogen,114.99418983520209,0.11673178778652597,317.28311143107146,0.027324000000000005,0.0,0.0
Poland,liquid_hydrogen,194.50951999918726,0.19710288301003992,321.2877347060888,0.12177,35.13376671560605,0.12087167209755321
India,liquid_hydrogen,745.2048393846368,0.7537249313898133,254.30238401609589,0.140184,259.4496461488906,0.8925918137096608
Indonesia,liquid_hydrogen,257.5424918161488,0.2608142323771918,222.49968263610978,0.12790800000000002,391.9007891992175,1.3482671547943936
South Korea,liquid_hydrogen,126.20181287878846,0.12806003023999582,266.36574121483625,0.081972,451.37308722129234,1.5528713511961172
China,liquid_hydrogen,1422.9103352979398,1.4387240734825033,255.14039703359072,0.11088000000000002,434.59410452671375,1.4951461516521478
United Arab Emirates,liquid_hydrogen,188.69487088381794,0.19122565509966227,269.06174772358366,0.075834,251.34853696441075,0.8647213430909217
United States,liquid_hydrogen,1609.3398036046551,1.6271599451420615,288.0397672498259,0.076032,136.48654955030761,0.46955846199215745
Turkey,liquid_hydrogen,174.60991317217503,0.176989111339773,266.4263970335907,0.09306,141.20544502485285,0.4857930089759428
Australia,liquid_hydrogen,1431.9328260410734,1.447843666662513,311.7391114310714,0.10929600000000002,398.68764166437,1.3716161515695673
Malaysia,liquid_hydrogen,131.0004864593708,0.13291034841758703,251.91104634359758,0.119592,340.29400284675506,1.170722896346507
Canada,liquid_hydrogen,2038.38644093734,2.060824096108664,285.2984425948223,0.03465,123.67505672102307,0.42548272787357266
Mexico,liquid_hydrogen,583.2052316904606,0.5899818409780763,269.63971517984675,0.10395000000000001,208.34439745184173,0.7167730091682802
Thailand,liquid_hydrogen,202.49409307689862,0.20517338817960162,255.99305285234496,0.10969200000000001,377.79549833642596,1.299740331416511
Russia,liquid_hydrogen,2493.0148831277284,2.5203453700975524,262.51241005108545,0.08890200000000001,50.64148935263056,0.17422332040600574
Saudi Arabia,liquid_hydrogen,512.660239354775,0.5186776247362443,260.74574772358363,0.10929600000000002,158.16376033952247,0.5441351715067588
