Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,liquid_hydrogen,438.1704908749996,0.44338619783910455,259.92307237858716,0.140382,202.8414917358742,0.6978412100057176
Taiwan,liquid_hydrogen,108.29765925058994,0.1099631873647823,271.8790658698398,0.125928,69.39296304730028,0.23873453544635748
Switzerland,liquid_hydrogen,207.83667510659146,0.21057346849320083,342.15581281105756,0.007326,267.9516660024915,0.921841548422986
Singapore,liquid_hydrogen,8.03949538583879,0.008626018566126862,296.5377347060888,0.098802,0.0,0.0
Hungary,liquid_hydrogen,329.62936309882156,0.33367692167592816,272.6403905248432,0.036234,260.9155686694031,0.8976350676156276
Philippines,liquid_hydrogen,173.897979404711,0.1762695155523986,261.44572168859406,0.12137400000000001,53.575182658663884,0.18431618685531068
Netherlands,liquid_hydrogen,82.54212485506892,0.08393046508134425,311.54111143107144,0.050094,344.8307856143194,1.1863309159334101
Norway,liquid_hydrogen,383.8823986934868,0.3885138428199527,318.4418258285524,0.006138,365.9352364688872,1.2589371435588457
Oman,liquid_hydrogen,324.730500960653,0.328725336684938,287.07974772358364,0.10791000000000002,133.08464145596236,0.45785478322027495
Italy,liquid_hydrogen,204.80191904673052,0.20750605158423233,339.4584165598328,0.057024,262.85493517664605,0.9043071240005275
Austria,liquid_hydrogen,166.3134639659168,0.16860337354810326,327.30511793981884,0.020394,262.85493517664605,0.9043071240005275
Finland,liquid_hydrogen,330.87093754752107,0.3349318582779358,304.99246862981187,0.014256,390.28463948360894,1.3427070701024548
Portugal,liquid_hydrogen,155.78194980131548,0.15795851643658324,265.3297281973415,0.022176,298.7750768736041,1.0278841837572263
Germany,liquid_hydrogen,242.44981880117643,0.24555912801477403,323.32978026732064,0.06811199999999999,352.7121240980374,1.2134453033147847
Greece,liquid_hydrogen,135.93126007286196,0.13789418832365563,285.9370658698397,0.06336,233.67889883908552,0.8039319969654449
France,liquid_hydrogen,282.1252145483468,0.2856615208873211,299.1431049223241,0.008712,336.975663584434,1.1593067217452921
Brazil,liquid_hydrogen,1251.7868275768665,1.2657588892134022,263.7610658698398,0.020394,371.42838203991226,1.2778353646240566
United Kingdom,liquid_hydrogen,225.3250961844594,0.22825010459418318,363.2804621210645,0.041778,334.6331335048618,1.1512476505404123
Spain,liquid_hydrogen,380.43443665151494,0.3850287728965696,268.132403542338,0.028908,288.16889937260265,0.9913954571288899
Sweden,liquid_hydrogen,402.0181929118524,0.4068448192627633,298.97498647480853,0.007128,363.1467719570981,1.2493439117584273
Czech Republic,liquid_hydrogen,358.5889267136765,0.3629481557904174,281.36772819734153,0.081972,262.85493517664605,0.9043071240005275
Japan,liquid_hydrogen,157.72394129414766,0.15992140815660483,320.6344686298119,0.095436,122.51418345194587,0.4214889433681275
Belgium,liquid_hydrogen,51.45087562910715,0.05250460359017767,317.28311143107146,0.027324000000000005,344.1389957110853,1.1839509319419137
Poland,liquid_hydrogen,194.50951999918726,0.19710288301003992,321.2877347060888,0.12177,378.2192602887212,1.3011982114144018
India,liquid_hydrogen,527.0853162860647,0.5332579481689742,254.30238401609589,0.140184,64.04120153981867,0.22032272189636626
Indonesia,liquid_hydrogen,257.5424918161488,0.2608142323771918,222.49968263610978,0.12790800000000002,47.07000358489807,0.16193623886098352
South Korea,liquid_hydrogen,126.20181287878846,0.12806003023999582,266.36574121483625,0.081972,106.54230160697293,0.36654043526270697
China,liquid_hydrogen,1422.9103352979398,1.4387240734825033,255.14039703359072,0.11088000000000002,89.7633189123943,0.3088152357187376
United Arab Emirates,liquid_hydrogen,188.69487088381794,0.19122565509966227,269.06174772358366,0.075834,138.7029695048471,0.47718367303611225
United States,liquid_hydrogen,1408.3893706910883,1.4240468304056317,288.0397672498259,0.076032,320.1453902102708,1.101405065453756
Turkey,liquid_hydrogen,174.60991317217503,0.176989111339773,266.4263970335907,0.09306,225.66613781509116,0.776365472973638
Australia,liquid_hydrogen,1431.9328260410734,1.447843666662513,311.7391114310714,0.10929600000000002,71.94760344630073,0.24752333566623214
Malaysia,liquid_hydrogen,271.7689086251675,0.27519375765475795,251.91104634359758,0.119592,0.0,0.0
Canada,liquid_hydrogen,1435.5081568025848,1.4514574760813554,285.2984425948223,0.03465,299.7471486085223,1.031228429108128
Mexico,liquid_hydrogen,857.852490116471,0.8675849259971682,269.63971517984675,0.10395000000000001,392.0916763071803,1.3489238690063396
Thailand,liquid_hydrogen,202.49409307689862,0.20517338817960162,255.99305285234496,0.10969200000000001,32.96471272210662,0.11340941548310102
Russia,liquid_hydrogen,2637.6741412966267,2.666561489546193,262.51241005108545,0.08890200000000001,131.33262938756718,0.45182728750778267
Saudi Arabia,liquid_hydrogen,471.0496315857507,0.47661919257711766,260.74574772358363,0.10929600000000002,153.97352103222505,0.5297193749978989
