Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,lng,36.05304361240747,0.04887765086665038,12.135525238045703,0.05672,47.91999291028547,0.16486048071231368
Taiwan,lng,8.910824241692303,0.012080537801519539,18.45634568877224,0.05088,68.52112477860437,0.23573512606936342
Switzerland,lng,40.538576790060155,0.0549587553349742,28.47289346314492,0.00296,0.0,0.0
Singapore,lng,0.5503414925855502,0.0007461061989998118,27.922738871863398,0.039920000000000004,57.04210191937806,0.19624352534599396
Hungary,lng,76.80742832481737,0.10412898023216323,20.75077295640763,0.01464,0.0,0.0
Philippines,lng,14.30847482008127,0.01939821348257842,16.72437977331648,0.04904,65.90453867693275,0.22673321233047058
Netherlands,lng,6.791636792605323,0.009207523656832625,24.05060253368647,0.02024,0.0,0.0
Norway,lng,31.586172849052392,0.042821847312728506,15.911252561691846,0.00248,4.00931300443226,0.013793350730963105
Oman,lng,26.719103995420006,0.036223489217659846,21.12109797041032,0.04360000000000001,40.64882895144683,0.13984529367260742
Italy,lng,18.21993296312582,0.024701035833739185,41.78749115350147,0.023039999999999998,15.307500202047128,0.0526628175120549
Austria,lng,54.43905545807985,0.07380384232732368,28.929782082959928,0.008239999999999999,0.0,0.0
Finland,lng,27.22434438169863,0.03690845117176681,15.940927547689158,0.0057599999999999995,7.807709183324688,0.02686107845705827
Portugal,lng,12.817872374283045,0.017377381435499117,16.803559322589937,0.008960000000000001,7.71666717802024,0.02654786412107946
Germany,lng,27.861242502357104,0.03777190348702314,28.316995716777623,0.02752,0.0,0.0
Greece,lng,11.184540606351483,0.015163049110033716,24.136345688772245,0.0256,19.28989298501403,0.06636355385845477
France,lng,38.404076242702544,0.0520649809937556,20.531422984413005,0.0035199999999999997,0.0,0.0
Brazil,lng,102.99809327173692,0.13963605672210483,15.176345688772244,0.008239999999999999,37.200579700505514,0.12798218613437484
United Kingdom,lng,18.53994207479783,0.025134876976323564,40.9817479984157,0.01688,3.6306481028710356,0.012490619367518661
Spain,lng,31.30247157646122,0.04243722925104109,15.949132054954553,0.01168,9.520354774212617,0.032753140585118516
Sweden,lng,33.07840154431364,0.0448448840905465,11.52280028005377,0.0028799999999999997,3.31854791959344,0.011416892450616263
Czech Republic,lng,51.82922071370271,0.07026565030041197,23.283559322589937,0.03312,0.0,0.0
Japan,lng,12.977661099092396,0.01759400940143792,22.260927547689153,0.03856,77.30846684554109,0.2659664627068899
Belgium,lng,9.461820518818865,0.012827531701722404,26.37060253368647,0.011040000000000001,0.0,0.0
Poland,lng,16.004410049511293,0.021697418257844776,37.9227388718634,0.0492,5.811847391273151,0.01999465977688497
India,lng,61.316093014068244,0.0831271450773518,14.831593407134172,0.056639999999999996,42.91830595173238,0.14765303834262614
Indonesia,lng,21.19081700585028,0.028728707798599755,9.929302477675712,0.051680000000000004,64.82844830678646,0.22303110878374552
South Korea,lng,10.383993350619885,0.014077735212861438,14.241918421136857,0.03312,74.66638919455023,0.25687684968384367
China,lng,117.07828218326276,0.15872477958147527,12.189952505681092,0.044800000000000006,71.8908004684377,0.2473279148060095
United Arab Emirates,lng,15.525975735670064,0.021048797697373996,13.84109797041032,0.03064,41.57821592775767,0.14304268946457305
United States,lng,132.4178586528644,0.17952087300381941,17.038636618230697,0.03072,22.577681561125654,0.07767462408655315
Turkey,lng,14.367053340775968,0.019477629259886466,16.749952505681094,0.0376,23.35828389663454,0.08036015195209521
Australia,lng,117.82066045617009,0.1597312329179604,24.130602533686467,0.044160000000000005,65.95113324728365,0.2268935129231901
Malaysia,lng,10.778832326510205,0.014613024322418646,14.858807040951865,0.04832,56.29162476997725,0.19366163799376798
Canada,lng,167.7201837743543,0.22738076357559195,13.944209350595314,0.013999999999999999,20.458397233290732,0.07038359143329193
Mexico,lng,47.986626418251255,0.06505618769818601,21.525200224043015,0.042,34.464447055117745,0.11856899310540711
Thailand,lng,16.66138756714907,0.022588092512133996,15.017986590225323,0.044320000000000005,62.49514318275459,0.21500377444927332
Russia,lng,205.1274017296293,0.2780942888681251,12.188311604228012,0.03592,8.377143565808982,0.028820119356881325
Saudi Arabia,lng,42.18212397392533,0.05718693685272497,10.48109797041032,0.044160000000000005,26.163537925322878,0.09001114519317412
