Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,lng,36.05304361240747,0.04887765086665038,12.135525238045703,0.05672,33.55415330584088,0.11543728427197386
Taiwan,lng,8.910824241692303,0.012080537801519539,18.45634568877224,0.05088,11.47902285922631,0.039491600723369415
Switzerland,lng,17.100979796499654,0.02318405427727318,28.47289346314492,0.00296,44.32471484340281,0.1524915458606248
Singapore,lng,0.6614965722328433,0.0008968008042448837,27.922738871863398,0.039920000000000004,0.0,0.0
Hungary,lng,27.122186571715517,0.03676995429967644,20.75077295640763,0.01464,43.160799677088185,0.148487296231744
Philippines,lng,14.30847482008127,0.01939821348257842,16.72437977331648,0.04904,8.862436757554681,0.030489686984476627
Netherlands,lng,6.791636792605323,0.009207523656832625,24.05060253368647,0.02024,57.04210191937808,0.196243525345994
Norway,lng,31.586172849052392,0.042821847312728506,15.911252561691846,0.00248,60.53321201401219,0.2082540882335661
Oman,lng,26.719103995420006,0.036223489217659846,21.12109797041032,0.04360000000000001,22.014936016547047,0.07573859498129781
Italy,lng,16.85127746633886,0.0228455290907342,41.78749115350147,0.023039999999999998,43.481610772211546,0.1495909915402742
Austria,lng,13.684414387924436,0.018552165413778056,28.929782082959928,0.008239999999999999,43.481610772211546,0.1495909915402742
Finland,lng,27.22434438169863,0.03690845117176681,15.940927547689158,0.0057599999999999995,64.56110391457831,0.22211135645620048
Portugal,lng,12.817872374283045,0.017377381435499117,16.803559322589937,0.008960000000000001,49.423540753857885,0.17003317806077484
Germany,lng,19.948978931930707,0.027045129333976993,28.316995716777623,0.02752,58.34583735079685,0.2007288025109504
Greece,lng,11.184540606351483,0.015163049110033716,24.136345688772245,0.0256,38.655294480858075,0.13298688174101286
France,lng,23.213504505882067,0.03147089551794304,20.531422984413005,0.0035199999999999997,55.74270322845311,0.19177316798964178
Brazil,lng,102.99809327173692,0.13963605672210483,15.176345688772244,0.008239999999999999,61.4418912346397,0.21138024255930654
United Kingdom,lng,18.53994207479783,0.025134876976323564,40.9817479984157,0.01688,55.355200589122006,0.1904400319118252
Spain,lng,31.30247157646122,0.04243722925104109,15.949132054954553,0.01168,47.66906092425297,0.1639971924409472
Sweden,lng,33.07840154431364,0.0448448840905465,11.52280028005377,0.0028799999999999997,60.07194265084708,0.20666717044975855
Czech Republic,lng,29.505004291634744,0.04000037594854379,23.283559322589937,0.03312,43.481610772211546,0.1495909915402742
Japan,lng,12.977661099092396,0.01759400940143792,22.260927547689153,0.03856,20.26636492616301,0.06972293736089585
Belgium,lng,4.233422153209155,0.005739313778892442,26.37060253368647,0.011040000000000001,56.92766564566551,0.1958498270595502
Poland,lng,16.004410049511293,0.021697418257844776,37.9227388718634,0.0492,62.56524212252678,0.21524493777602724
India,lng,43.369031669780384,0.05879604538160874,14.831593407134172,0.056639999999999996,10.593731469670939,0.03644590820154844
Indonesia,lng,21.19081700585028,0.028728707798599755,9.929302477675712,0.051680000000000004,7.786346387408373,0.026787583437751478
South Korea,lng,10.383993350619885,0.014077735212861438,14.241918421136857,0.03312,17.624287275172158,0.06063332433784966
China,lng,117.07828218326276,0.15872477958147527,12.189952505681092,0.044800000000000006,14.848698549059618,0.05108438946001547
United Arab Emirates,lng,15.525975735670064,0.021048797697373996,13.84109797041032,0.03064,22.944322992857888,0.07893599077326344
United States,lng,115.88348476726244,0.15710497484089736,17.038636618230697,0.03072,52.95862996936256,0.1821950435376774
Turkey,lng,14.367053340775968,0.019477629259886466,16.749952505681094,0.0376,37.32981905913191,0.12842681188442423
Australia,lng,117.82066045617009,0.1597312329179604,24.130602533686467,0.044160000000000005,11.901612906537597,0.04094544898404027
Malaysia,lng,22.36137877654277,0.030315655912075135,14.858807040951865,0.04832,0.0,0.0
Canada,lng,118.11484173619228,0.16013005888258658,13.944209350595314,0.013999999999999999,49.584341405335,0.17058638500199874
Mexico,lng,70.584838283883,0.09569292177405249,21.525200224043015,0.042,64.86002495922516,0.22313974281693658
Thailand,lng,16.66138756714907,0.022588092512133996,15.017986590225323,0.044320000000000005,5.453041263376516,0.01876024910327933
Russia,lng,217.03008950143004,0.29423094083957224,12.188311604228012,0.03592,21.725117197756443,0.07474152326063321
Saudi Arabia,lng,38.75836749584844,0.052545298948670625,10.48109797041032,0.044160000000000005,25.470386189442838,0.0876264760510543
