Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel],Tanker Transport Cost [$/tonne],Tanker Transport Emissions [kg CO2e / kg fuel]
South Africa,methanol,24.53851842343582,0.061263819665180845,2.3634903994060386,0.00043408170499999995,25.830928168264716,0.0888668586207434
Taiwan,methanol,6.525622092765043,0.0173213779005709,2.3754370312337483,0.00038938781999999997,36.935820409625535,0.12707132740262914
Switzerland,methanol,27.51533631048074,0.068525763788103,2.9013606570253185,2.2653065e-05,0.0,0.0
Singapore,methanol,0.9771992841090199,0.003786006260216733,2.4600262639578463,0.000305510255,30.748135543443087,0.10578366353663152
Hungary,methanol,51.585109448964424,0.12724395019237714,2.344427090337363,0.00011204083499999999,0.0,0.0
Philippines,methanol,10.107765430778443,0.026060012828209862,2.301470517613267,0.00037530618499999997,35.52536845557584,0.1222189104249892
Netherlands,methanol,5.11922627434319,0.013890476772040847,2.673239243439774,0.000154897985,0.0,0.0
Norway,methanol,21.57408582181769,0.054032089433107444,2.878079638369897,1.8979595e-05,2.1611913928173894,0.0074352066912496345
Oman,methanol,18.344062311311852,0.04615245045650106,2.4808268853024247,0.000333673525,21.91145943478494,0.07538260162704784
Italy,methanol,12.703599215411327,0.032392546631650115,2.651130418026521,0.00017632656,8.251398093798704,0.02838751372186335
Austria,methanol,36.74036974543607,0.09103022320709576,2.747006911612064,6.3061235e-05,0.0,0.0
Finland,methanol,18.679364394601482,0.0469704195380984,2.7447410684048363,4.408164e-05,4.208689584965953,0.014479271510857606
Portugal,methanol,9.118529180062064,0.023646772028920435,2.338503485785557,6.857144e-05,4.159614045582699,0.014310435571564244
Germany,methanol,19.102040951147117,0.0480015385558461,2.7180325511638714,0.00021061228,0.0,0.0
Greece,methanol,8.034570812196023,0.021002456723884677,2.4189064262337494,0.0001959184,10.39807833449119,0.035772797293978136
France,methanol,26.098777975579193,0.06507007121124654,2.609879740267486,2.693878e-05,0.0,0.0
Brazil,methanol,68.96650800287952,0.16964585379087785,2.3503349862337486,6.3061235e-05,20.052705430499195,0.06898787867193001
United Kingdom,methanol,12.915972819599245,0.03291063181701133,2.899953030232547,0.000129183695,1.9570747960060495,0.006732978701886634
Spain,methanol,21.385807864799265,0.0535727855538221,2.3805338366819417,8.938776999999999e-05,5.131878895923174,0.017655345302809478
Sweden,methanol,22.56440133074008,0.056447963081661987,2.759498200469972,2.204082e-05,1.7888394327279502,0.006154193915445543
Czech Republic,methanol,35.008356528367685,0.08680497877502902,2.3880953307855566,0.00025346943,0.0,0.0
Japan,methanol,9.224572746193815,0.023905465197621,2.7931084234048362,0.00029510208999999996,41.67257406787354,0.1433673123911195
Belgium,methanol,6.891290009706824,0.01821342440161253,2.690994348439774,8.448981e-05,0.0,0.0
Poland,methanol,11.233270499248109,0.02880568126592744,2.5365568889578465,0.000376530675,3.1328346139356533,0.010777977814240261
India,methanol,41.30430620421374,0.10216394142628842,2.2627002371650744,0.00043346945999999997,23.134804719573626,0.07959131034086145
Indonesia,methanol,14.675222299770393,0.03720231908443936,2.0309053535795303,0.00039551027,34.945309666630486,0.12022331808494091
South Korea,methanol,7.503288733588453,0.01970639464862347,2.3917530921301347,0.00025346943,40.2483810771631,0.1384676217439359
China,methanol,78.31080589228577,0.1924412587218022,2.315337598509652,0.00034285720000000003,38.75221989986314,0.13332033694832754
United Arab Emirates,methanol,10.915758228841952,0.02803111041425852,2.425112590302424,0.000234489835,22.412438812443682,0.07710613487510991
United States,methanol,88.49089459208655,0.21727557446079146,2.558864559819293,0.00023510208,12.170337163931713,0.04186994850005636
Turkey,methanol,10.146640984986664,0.026154849702053014,2.3502355635096523,0.00028775515,12.591115249067487,0.043317563016998434
Australia,methanol,78.8034842059262,0.19364314695278967,2.673851488439774,0.00033795924,35.55048492422846,0.12230531930872213
Malaysia,methanol,7.765323073628242,0.020345627147170673,2.238623836716881,0.00036979597999999995,30.34359622361494,0.10439191569437367
Canada,methanol,111.9192338137173,0.27442898349557826,2.5837520507156784,0.00010714287499999999,11.02795216101818,0.0379397696894823
Mexico,methanol,32.458224140908094,0.08058393348220819,2.301784494440977,0.000321428625,18.577812770264984,0.06391376454548393
Thailand,methanol,11.669272719816663,0.029869308227125906,2.276269049889171,0.00033918373,33.68755828994832,0.11589624113890301
Russia,methanol,136.74448225210324,0.33499015110404834,2.3881790448542315,0.000274898005,4.515639100965043,0.015535278444263487
Saudi Arabia,methanol,28.606074124996802,0.07118661754615298,2.3993983003024244,0.00033795924,14.10326729475843,0.048519861640653056
