Region,Fuel,Land Transport Cost [$/tonne],Land Transport Emissions [kg CO2e / kg fuel],Fuel Storage Cost [$/tonne],Fuel Storage Emissions [kg CO2e / kg fuel]
South Africa,methanol,24.53851842343582,0.061263819665180845,4.671878748812078,0.00043408170499999995
Taiwan,methanol,6.525622092765043,0.0173213779005709,4.646792412467497,0.00038938781999999997
Switzerland,methanol,11.96100749459355,0.030580994905159857,5.629455979050637,2.2653065e-05
Singapore,methanol,1.0509671989197897,0.003965963011266787,4.743725967915692,0.000305510255
Hungary,methanol,18.611567505354483,0.046805029097667934,4.566405180674726,0.00011204083499999999
Philippines,methanol,10.107765430778443,0.026060012828209862,4.5111042852265335,0.00037530618499999997
Netherlands,methanol,5.11922627434319,0.013890476772040847,5.203825401879548,0.000154897985
Norway,methanol,21.57408582181769,0.054032089433107444,5.680240896739793,1.8979595e-05
Oman,methanol,18.344062311311852,0.04615245045650106,4.838592525604849,0.000333673525
Italy,methanol,11.7952928886772,0.030176734297296056,5.021240381053043,0.00017632656
Austria,methanol,9.69360858844435,0.02504967764437311,5.314626038224128,6.3061235e-05
Finland,methanol,18.679364394601482,0.0469704195380984,5.411114776809672,4.408164e-05
Portugal,methanol,9.118529180062064,0.023646772028920435,4.585170221571113,6.857144e-05
Germany,methanol,13.85107818025421,0.035191820366594524,5.2609630323277425,0.00021061228
Greece,methanol,8.034570812196023,0.021002456723884677,4.6902618074674995,0.0001959184
France,methanol,16.01757606052169,0.04047698968024368,5.1034329305349715,2.693878e-05
Brazil,methanol,68.96650800287952,0.16964585379087785,4.6216903674674965,6.3061235e-05
United Kingdom,methanol,12.915972819599245,0.03291063181701133,5.5292937704650935,0.000129183695
Spain,methanol,21.385807864799265,0.0535727855538221,4.676577863363884,8.938776999999999e-05
Sweden,methanol,22.56440133074008,0.056447963081661987,5.475249199771194,2.204082e-05
Czech Republic,methanol,20.192921188248224,0.05066273975364338,4.634762066571113,0.00025346943
Japan,methanol,9.224572746193815,0.023905465197621,5.459482131809672,0.00029510208999999996
Belgium,methanol,3.4214706685224665,0.009748803746793435,5.221580506879548,8.448981e-05
Poland,methanol,11.233270499248109,0.02880568126592744,4.820256592915692,0.000376530675
India,methanol,29.393763775113616,0.0731081856240144,4.447645359330148,0.00043346945999999997
Indonesia,methanol,14.675222299770393,0.03720231908443936,4.01834131215906,0.00039551027
South Korea,methanol,7.503288733588453,0.01970639464862347,4.712485764260269,0.00025346943
China,methanol,78.31080589228577,0.1924412587218022,4.574348657019305,0.00034285720000000003
United Arab Emirates,methanol,10.915758228841952,0.02803111041425852,4.782878230604848,0.000234489835
United States,methanol,77.51788024031099,0.19050691742288298,5.027729104638586,0.00023510208
Turkey,methanol,10.146640984986664,0.026154849702053014,4.609246622019305,0.00028775515
Australia,methanol,78.8034842059262,0.19364314695278967,5.204437646879548,0.00033795924
Malaysia,methanol,15.45206399926973,0.039097423598111934,4.398880313433762,0.00036979597999999995
Canada,methanol,78.99871720537578,0.19411941765081375,5.101993886431357,0.00010714287499999999
Mexico,methanol,47.45549617804119,0.1171697629358324,4.474385293881954,0.000321428625
Thailand,methanol,11.669272719816663,0.029869308227125906,4.4735584947783416,0.00033918373
Russia,methanol,144.64368452298004,0.35426024678454415,4.721256039708464,0.000274898005
Saudi Arabia,methanol,26.333902875522575,0.06564365815881472,4.7571639406048485,0.00033795924
