,Vessel,Fuel,Cargo miles (m^3-miles),Cargo miles (tonne-miles),Final Cargo miles (m^3-miles),Final Cargo miles (tonne-miles)
0,bulk_carrier_capesize,lsfo,6852908159.999999,6852908159.999999,6612077164.524906,4799703282.302327
1,bulk_carrier_capesize,ammonia,6202776494.602778,6641895520.174427,6026175610.254186,4401172562.785691
2,bulk_carrier_capesize,methanol,6443521230.459075,6705399358.72808,6241756686.64631,4546855639.365015
3,bulk_carrier_capesize,FTdiesel,6829451204.549978,6867449571.082333,6593025522.823278,4788190623.56184
4,bulk_carrier_capesize,liquid_hydrogen,4928834527.410548,6852908159.999999,4882144435.690928,3640735775.120271
5,bulk_carrier_capesize,compressed_hydrogen,5346067894.403954,6852908159.999999,5263150507.164115,3898578276.261119
6,bulk_carrier_capesize,lng,6540109882.954949,6852908159.999999,6339749652.938556,4621093493.640244
7,bulk_carrier_handy,lsfo,839234924.9999999,979107412.4999999,820769379.8497995,603521214.9278843
8,bulk_carrier_handy,ammonia,618731192.5224274,905506926.4021432,615365719.2083068,460930813.78056633
9,bulk_carrier_handy,methanol,705541101.9445893,930935343.1120536,696093583.692354,516838734.3827678
10,bulk_carrier_handy,FTdiesel,831574567.9513017,983856212.9621874,814048978.2583437,599213504.011466
11,bulk_carrier_handy,liquid_hydrogen,0.0,952245980.9665755,0.0,0.0
12,bulk_carrier_handy,compressed_hydrogen,347144872.03403777,979107412.4999999,347144872.03403753,261980170.427883
13,bulk_carrier_handy,lng,737084136.8686026,979107412.4999999,727580150.5049515,540515864.4998777
14,bulk_carrier_panamax,lsfo,3302936757.0000005,2678056830.0000005,3106051133.6068745,2213921319.175625
15,bulk_carrier_panamax,ammonia,2890282227.693581,2542596351.3515263,2755943418.454643,1979338007.557669
16,bulk_carrier_panamax,methanol,3046961001.966435,2585824582.082322,2893680566.1931424,2072009576.251912
17,bulk_carrier_panamax,FTdiesel,3288269918.738112,2687149080.906075,3098966048.6424255,2210779652.535587
18,bulk_carrier_panamax,liquid_hydrogen,1756910907.1098685,2674921395.44053,1750005376.3269286,1313219026.1857336
19,bulk_carrier_panamax,compressed_hydrogen,2360760671.5703645,2678056830.0000005,2304524263.6651134,1691015711.8841043
20,bulk_carrier_panamax,lng,3107354608.7628984,2678056830.0000005,2956662842.731808,2119915465.6085236
21,container_15000_teu,lsfo,39013957816.119,28720125046.336002,39013957816.119,15539212875.419943
22,container_15000_teu,ammonia,35133303768.11051,27457330498.21039,35133303768.11051,13993552995.638416
23,container_15000_teu,methanol,36578575582.241196,27842617026.3289,36578575582.241196,14569203035.772057
24,container_15000_teu,FTdiesel,38874415860.96204,28806629748.00086,38874415860.96204,15483633481.079685
25,container_15000_teu,liquid_hydrogen,26901839518.0931,28720125046.336002,26901839518.0931,10714970600.58128
26,container_15000_teu,compressed_hydrogen,30049988164.622128,28720125046.336002,30049988164.622128,11968874452.439857
27,container_15000_teu,lng,37153167175.935776,28720125046.336002,37153167175.935776,14798062182.360815
28,container_8000_teu,lsfo,20291557123.094406,14937629776.165949,20291557123.094406,8082103005.177097
29,container_8000_teu,ammonia,18056476738.260582,14219115556.786104,18056476738.260582,7191873153.150683
30,container_8000_teu,methanol,18866556609.387394,14424178802.47584,18866556609.387394,7514526999.829408
31,container_8000_teu,FTdiesel,20209907780.738106,14988245750.363235,20209907780.738106,8049582169.480483
32,container_8000_teu,liquid_hydrogen,14848152665.783363,14937629776.165949,14848152665.783363,5914001500.89397
33,container_8000_teu,compressed_hydrogen,15046523641.061523,14937629776.165949,15046523641.061523,5993012423.797013
34,container_8000_teu,lng,19202763922.061573,14937629776.165949,19202763922.061573,7648437971.552416
35,container_3500_teu,lsfo,7045270589.857501,5186375944.7235985,7045270589.857501,2806122874.7086825
36,container_3500_teu,ammonia,6347654860.852747,4960149174.978209,6347654860.852747,2528263361.727733
37,container_3500_teu,methanol,6605481145.570158,5027912620.524128,6605481145.570158,2630955263.482115
38,container_3500_teu,FTdiesel,7020071638.309132,5201997252.189923,7020071638.309132,2796086162.3558097
39,container_3500_teu,liquid_hydrogen,5017362358.771067,5186375944.7235985,5017362358.771067,1998409444.4745202
40,container_3500_teu,compressed_hydrogen,5426527060.894807,5186375944.7235985,5426527060.894807,2161379257.4162273
41,container_3500_teu,lng,6709242811.467157,5186375944.7235985,6709242811.467157,2672283411.2768383
42,tanker_100k_dwt,lsfo,5145745129.411764,4373883360.0,5015357112.71005,4165739282.090603
43,tanker_100k_dwt,ammonia,4649588006.22444,4213287796.5137067,4589448341.262545,3819366993.3858232
44,tanker_100k_dwt,methanol,4832194624.350764,4260905988.710648,4747921763.769851,3948144449.5587735
45,tanker_100k_dwt,FTdiesel,5127779386.741878,4385020664.247299,5005715701.579824,4158553000.4491224
46,tanker_100k_dwt,liquid_hydrogen,3757688840.1892,4373883360.0,3757688840.189198,3134773723.470366
47,tanker_100k_dwt,compressed_hydrogen,3991652284.1572566,4373883360.0,3991652284.157254,3329952858.1979685
48,tanker_100k_dwt,lng,4906172122.37984,4373883360.0,4830516784.821302,4018153439.068747
49,tanker_300k_dwt,lsfo,21336650258.823532,18136152720.0,20796000957.247227,17273090659.5777
50,tanker_300k_dwt,ammonia,19507738309.452038,17544122162.49276,19232845310.60606,16002300854.751427
51,tanker_300k_dwt,methanol,20180982628.497692,17719746785.86506,19812727809.08904,16473183578.99638
52,tanker_300k_dwt,FTdiesel,21270433088.309605,18177201998.505203,20760465161.34189,17246603848.230206
53,tanker_300k_dwt,liquid_hydrogen,16211147741.991951,18136152720.0,16211147741.991945,13523812675.861057
54,tanker_300k_dwt,compressed_hydrogen,17082956764.080765,18136152720.0,17082956764.08076,14251101211.595913
55,tanker_300k_dwt,lng,20453644922.018997,18136152720.0,20118716451.600914,16732610687.681337
56,tanker_35k_dwt,lsfo,1082858823.5294118,920430000.0,1055420267.8261889,876628636.803578
57,tanker_35k_dwt,ammonia,865842205.9461292,845669767.9747573,864029443.0842571,720514395.5315473
58,tanker_35k_dwt,methanol,957177203.7358413,875144858.3897097,946117203.1865499,787562890.9702945
59,tanker_35k_dwt,FTdiesel,1075657547.8079562,924894207.25,1051555665.0002204,873748132.6984473
60,tanker_35k_dwt,liquid_hydrogen,0.0,809088397.8496357,0.0,0.0
61,tanker_35k_dwt,compressed_hydrogen,620259478.7905519,920430000.0,620259478.7905515,517438563.5794548
62,tanker_35k_dwt,lng,986829880.5151722,920430000.0,978389157.9985902,814878586.005125
63,gas_carrier_100k_cbm,lsfo,4976633520.000001,2129999146.5600004,4976633520.000001,2129999146.5600004
64,gas_carrier_100k_cbm,ammonia,4609823409.70001,2013646701.3436882,4609823409.70001,1973004419.3516047
65,gas_carrier_100k_cbm,methanol,4738793622.702648,2044301544.5766869,4738793622.702648,2028203670.5167332
66,gas_carrier_100k_cbm,FTdiesel,4963005825.824718,2138447212.3599002,4963005825.824718,2124166493.4529796
67,gas_carrier_100k_cbm,liquid_hydrogen,4291102778.83297,2129999146.5600004,4291102778.83297,1836591989.3405113
68,gas_carrier_100k_cbm,compressed_hydrogen,4101210520.016182,2129999146.5600004,4101210520.016182,1755318102.5669258
69,gas_carrier_100k_cbm,lng,4794908348.239854,2129999146.5600004,4794908348.239854,2052220773.0466576
